PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1628369,2017-18,00,1610612738,BOS,20.0,80,80,2443.0,397,835,0.475,105,242,0.434,213,258,0.826,50,352,402,128,83,58,114,170,1112
1628369,2018-19,00,1610612738,BOS,21.0,79,79,2455.0,466,1036,0.45,116,311,0.373,195,228,0.855,70,407,477,168,84,57,122,168,1243
1628367,2017-18,00,1610612756,PHX,21.0,77,35,1959.0,389,932,0.417,57,217,0.263,177,279,0.634,95,256,351,119,80,35,146,218,1012
1628367,2018-19,00,1610612756,PHX,22.0,79,29,1988.0,347,841,0.413,73,225,0.324,143,213,0.671,66,281,347,183,74,56,173,209,910
1628368,2017-18,00,1610612758,SAC,20.0,73,61,2026.0,328,797,0.412,47,153,0.307,141,195,0.723,33,171,204,320,70,20,173,163,844
1628368,2018-19,00,1610612758,SAC,21.0,81,81,2546.0,505,1102,0.458,86,232,0.371,303,417,0.727,43,261,304,590,133,45,227,204,1399
1628371,2017-18,00,1610612753,ORL,20.0,27,10,535.0,55,145,0.379,16,46,0.348,19,25,0.76,16,83,99,18,33,30,27,48,145
1628371,2018-19,00,1610612753,ORL,21.0,75,64,1996.0,262,611,0.429,86,266,0.323,110,135,0.815,99,312,411,80,59,98,75,143,720
1628374,2017-18,00,1610612741,CHI,21.0,68,68,2020.0,374,862,0.434,145,401,0.362,140,166,0.843,79,429,508,79,39,40,83,103,1033
1628374,2018-19,00,1610612741,CHI,22.0,52,51,1682.0,342,795,0.43,120,332,0.361,170,195,0.872,74,396,470,75,37,33,85,122,974
1628373,2017-18,00,1610612752,NYK,19.0,78,9,1706.0,182,500,0.364,50,157,0.318,49,68,0.721,37,140,177,250,65,18,131,181,463
1628373,2018-19,00,1610612752,NYK,20.0,43,16,904.0,95,282,0.337,33,115,0.287,23,30,0.767,12,75,87,121,30,14,56,104,246
1628372,2017-18,00,1610612742,DAL,20.0,69,69,2049.0,404,1024,0.395,106,339,0.313,134,193,0.694,50,210,260,358,71,18,194,152,1048
1628372,2018-19,00,1610612742,DAL,21.0,32,32,908.0,157,357,0.44,43,125,0.344,57,82,0.695,18,79,97,138,40,11,100,82,414
1628372,2018-19,00,1610612752,NYK,21.0,21,18,600.0,121,293,0.413,24,83,0.289,42,74,0.568,14,44,58,114,27,9,54,47,308
1628372,2018-19,00,0,TOT,21.0,53,50,1508.0,278,650,0.428,67,208,0.322,99,156,0.635,32,123,155,252,67,20,154,129,722
1628380,2017-18,00,1610612757,POR,20.0,66,1,1045.0,115,289,0.398,35,113,0.31,27,42,0.643,45,176,221,52,17,31,58,133,292
1628380,2018-19,00,1610612757,POR,21.0,77,0,1356.0,189,400,0.473,40,121,0.331,94,126,0.746,109,215,324,71,25,66,77,174,512
