Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,POR,Greg Oden\odengr01,Ohio State University,3,105,2028,840,656,51,.574,,.658,19.3,8.0,6.2,0.5,7.3,.174,1.1,1.6
2,2,SEA,Kevin Durant\duranke01,University of Texas at Austin,12,849,31305,22940,5992,3486,.493,.381,.883,36.9,27.0,7.1,4.1,141.7,.217,5.1,55.7
3,3,ATL,Al Horford\horfoal01,University of Florida,12,786,25785,11092,6597,2548,.525,.368,.754,32.8,14.1,8.4,3.2,85.7,.160,3.2,34.1
4,4,MEM,Mike Conley\conlemi01,Ohio State University,12,788,25700,11733,2327,4509,.441,.375,.819,32.6,14.9,3.0,5.7,71.4,.133,2.0,25.7
5,5,BOS,Jeff Green\greenje02,Georgetown University,11,860,25819,11320,3875,1371,.441,.333,.805,30.0,13.2,4.5,1.6,40.2,.075,-1.3,4.4
6,6,MIL,Yi Jianlian\jianlyi01,,5,272,6038,2148,1339,192,.404,.333,.780,22.2,7.9,4.9,0.7,3.1,.025,-4.7,-4.1
7,7,MIN,Corey Brewer\breweco01,University of Florida,12,814,18738,7092,2279,1248,.425,.284,.713,23.0,8.7,2.8,1.5,22.5,.058,-1.0,4.8
8,8,CHA,Brandan Wright\wrighbr03,University of North Carolina,10,428,6949,2976,1560,199,.607,.000,.674,16.2,7.0,3.6,0.5,26.2,.181,1.6,6.4
9,9,CHI,Joakim Noah\noahjo01,University of Florida,12,667,18596,5867,6042,1900,.491,.000,.700,27.9,8.8,9.1,2.8,61.8,.160,4.1,28.4
10,10,SAC,Spencer Hawes\hawessp01,University of Washington,10,684,15541,5932,3893,1271,.457,.350,.716,22.7,8.7,5.7,1.9,22.6,.070,-0.7,5.0
11,11,ATL,Acie Law\lawac01,Texas A&M University,4,188,2385,725,195,309,.413,.235,.778,12.7,3.9,1.0,1.6,1.6,.032,-5.4,-2.0
12,12,PHI,Thaddeus Young\youngth01,Georgia Institute of Technology,12,901,27690,12044,5399,1490,.501,.329,.673,30.7,13.4,6.0,1.7,59.7,.103,0.7,19.0
13,13,NOK,Julian Wright\wrighju01,University of Kansas,4,231,3049,907,531,182,.499,.262,.584,13.2,3.9,2.3,0.8,3.9,.061,-1.3,0.5
14,14,LAC,Al Thornton\thornal01,Florida State University,4,296,8274,3527,1233,353,.452,.293,.747,28.0,11.9,4.2,1.2,6.1,.035,-3.5,-3.1
15,15,DET,Rodney Stuckey\stuckro01,Eastern Washington University,10,651,17890,8185,1912,2333,.423,.300,.824,27.5,12.6,2.9,3.6,28.7,.077,-1.4,2.7
16,16,WAS,Nick Young\youngni01,University of Southern California,12,720,16419,8194,1427,687,.418,.376,.836,22.8,11.4,2.0,1.0,18.6,.054,-3.4,-5.8
17,17,NJN,Sean Williams\willise01,Boston College,4,137,1978,581,472,47,.511,.000,.624,14.4,4.2,3.4,0.3,3.0,.073,-2.0,0.0
18,18,GSW,Marco Belinelli\belinma01,,12,803,18665,8009,1670,1360,.425,.376,.847,23.2,10.0,2.1,1.7,29.6,.076,-1.7,1.6
19,19,LAL,Javaris Crittenton\crittja01,Georgia Institute of Technology,2,113,1853,595,276,201,.442,.231,.638,16.4,5.3,2.4,1.8,0.1,.002,-4.3,-1.1
