Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAC,Blake Griffin\griffbl01,University of Oklahoma,9,604,21159,13200,5417,2690,.502,.342,.692,35.0,21.9,9.0,4.5,75.3,.171,4.0,32.3
2,2,MEM,Hasheem Thabeet\thabeha01,University of Connecticut,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099,-1.4,0.4
3,3,OKC,James Harden\hardeja01,Arizona State University,10,765,26106,18627,4000,4743,.443,.365,.857,34.1,24.3,5.2,6.2,121.9,.224,7.1,59.9
4,4,SAC,Tyreke Evans\evansty01,University of Memphis,10,594,18242,9347,2720,2852,.440,.323,.757,30.7,15.7,4.6,4.8,28.4,.075,0.7,12.6
5,5,MIN,Ricky Rubio\rubiori01,,8,498,15370,5525,2092,3817,.388,.322,.838,30.9,11.1,4.2,7.7,32.2,.101,1.2,12.3
6,6,MIN,Jonny Flynn\flynnjo01,Syracuse University,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-.015,-4.9,-2.7
7,7,GSW,Stephen Curry\curryst01,Davidson College,10,694,23859,16315,3132,4588,.477,.436,.905,34.4,23.5,4.5,6.6,102.9,.207,6.5,51.1
8,8,NYK,Jordan Hill\hilljo01,University of Arizona,8,409,7692,3232,2389,322,.497,.136,.699,18.8,7.9,5.8,0.8,16.4,.102,-2.0,0.0
9,9,TOR,DeMar DeRozan\derozde01,University of Southern California,10,752,25674,14931,3201,2553,.451,.283,.828,34.1,19.9,4.3,3.4,60.3,.113,-0.5,10.0
10,10,MIL,Brandon Jennings\jennibr01,,9,555,16844,7801,1659,3151,.387,.345,.796,30.3,14.1,3.0,5.7,29.9,.085,0.4,10.4
11,11,NJN,Terrence Williams\willite01,University of Louisville,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-.004,-3.8,-1.4
12,12,CHA,Gerald Henderson\hendege02,Duke University,8,535,13854,5987,1716,1009,.440,.327,.793,25.9,11.2,3.2,1.9,18.3,.063,-2.2,-0.9
13,13,IND,Tyler Hansbrough\hansbty01,University of North Carolina,7,428,7233,2881,1808,181,.439,.136,.738,16.9,6.7,4.2,0.4,20.2,.134,-2.5,-1.0
14,14,PHO,Earl Clark\clarkea01,University of Louisville,6,261,3630,1138,778,134,.403,.328,.664,13.9,4.4,3.0,0.5,2.9,.038,-3.6,-1.5
15,15,DET,Austin Daye\dayeau01,Gonzaga University,6,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053,-2.6,-0.6
16,16,CHI,James Johnson\johnsja01,Wake Forest University,10,602,12462,4785,2166,1281,.477,.305,.695,20.7,7.9,3.6,2.1,23.5,.090,1.1,9.7
17,17,PHI,Jrue Holiday\holidjr01,University of California Los Angeles,10,652,21586,10148,2499,4151,.452,.355,.784,33.1,15.6,3.8,6.4,39.1,.087,1.3,18.0
18,18,MIN,Ty Lawson\lawsoty01,University of North Carolina,8,551,16088,6977,1506,3316,.460,.359,.770,29.2,12.7,2.7,6.0,42.1,.126,0.7,10.9
19,19,ATL,Jeff Teague\teaguje01,Wake Forest University,10,712,19750,9049,1759,4145,.445,.356,.842,27.7,12.7,2.5,5.8,48.3,.117,0.0,10.0
20,20,UTA,Eric Maynor\maynoer01,Virginia Commonwealth University,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041,-4.7,-2.7
