Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIN,Karl-Anthony Towns\townska01,University of Kentucky,4,323,11120,7187,3831,839,.537,.392,.836,34.4,22.3,11.9,2.6,45.4,.196,5.0,19.6
2,2,LAL,D'Angelo Russell\russeda01,Ohio State University,4,272,7752,4493,999,1381,.419,.353,.762,28.5,16.5,3.7,5.1,6.6,.041,0.4,4.6
3,3,PHI,Jahlil Okafor\okafoja01,Duke University,4,190,4013,2178,976,175,.530,.200,.679,21.1,11.5,5.1,0.9,5.3,.063,-3.5,-1.5
4,4,NYK,Kristaps Porziņģis\porzikr01,,3,186,5764,3312,1317,248,.437,.361,.804,31.0,17.8,7.1,1.3,12.1,.100,-0.1,2.8
5,5,ORL,Mario Hezonja\hezonma01,,4,277,5236,2028,842,365,.417,.321,.811,18.9,7.3,3.0,1.3,2.4,.022,-3.0,-1.3
6,6,SAC,Willie Cauley-Stein\caulewi01,University of Kentucky,4,295,7090,2971,1879,483,.534,.222,.611,24.0,10.1,6.4,1.6,17.4,.118,0.6,4.7
7,7,DEN,Emmanuel Mudiay\mudiaem01,,4,246,6326,2901,758,1023,.393,.320,.742,25.7,11.8,3.1,4.2,-1.2,-.009,-3.8,-2.8
8,8,DET,Stanley Johnson\johnsst04,University of Arizona,4,285,6160,1985,964,423,.374,.293,.764,21.6,7.0,3.4,1.5,3.3,.026,-2.1,-0.2
9,9,CHO,Frank Kaminsky\kaminfr01,University of Wisconsin,4,282,6252,2758,1122,452,.419,.349,.760,22.2,9.8,4.0,1.6,11.0,.084,-1.2,1.3
10,10,MIA,Justise Winslow\winslju01,Duke University,4,230,6496,2057,1222,613,.419,.343,.644,28.2,8.9,5.3,2.7,7.8,.057,-0.8,2.0
11,11,IND,Myles Turner\turnemy01,University of Texas at Austin,4,280,7863,3604,1869,349,.495,.363,.771,28.1,12.9,6.7,1.2,22.1,.135,1.4,6.8
12,12,UTA,Trey Lyles\lylestr01,University of Kentucky,4,288,5051,2198,1127,306,.431,.331,.705,17.5,7.6,3.9,1.1,8.1,.077,-2.4,-0.6
13,13,PHO,Devin Booker\bookede01,University of Kentucky,4,272,8945,5820,945,1154,.437,.354,.854,32.9,21.4,3.5,4.2,9.8,.053,-1.1,2.0
14,14,OKC,Cameron Payne\payneca01,Murray State University,4,153,2454,914,274,382,.397,.331,.775,16.0,6.0,1.8,2.5,2.2,.044,-2.9,-0.6
15,15,ATL,Kelly Oubre\oubreke01,University of Kansas,4,292,6442,2737,1082,242,.424,.321,.778,22.1,9.4,3.7,0.8,8.3,.062,-2.3,-0.4
16,16,BOS,Terry Rozier\roziete01,University of Louisville,4,272,5433,2090,973,631,.380,.354,.777,20.0,7.7,3.6,2.3,9.9,.088,-0.5,2.0
17,17,MIL,Rashad Vaughn\vaughra01,University of Nevada Las Vegas,3,139,1671,423,158,75,.337,.313,.692,12.0,3.0,1.1,0.5,-0.6,-.017,-5.6,-1.5
18,18,HOU,Sam Dekker\dekkesa01,University of Wisconsin,4,200,3096,1094,607,160,.478,.288,.606,15.5,5.5,3.0,0.8,5.4,.083,-1.9,0.1
