Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,TOR,Andrea Bargnani\bargnan01,,10,550,15806,7873,2541,653,.439,.354,.824,28.7,14.3,4.6,1.2,18.9,.057,-2.2,-0.9
2,2,CHI,LaMarcus Aldridge\aldrila01,University of Texas at Austin,13,950,32764,18598,7968,1856,.491,.283,.810,34.5,19.6,8.4,2.0,107.0,.157,1.4,28.3
3,3,CHA,Adam Morrison\morriad01,Gonzaga University,3,161,3278,1200,342,222,.373,.331,.710,20.4,7.5,2.1,1.4,-1.4,-.021,-5.5,-2.9
4,4,POR,Tyrus Thomas\thomaty01,Louisiana State University,8,402,7932,3093,1938,347,.438,.235,.732,19.7,7.7,4.8,0.9,13.0,.078,-1.1,1.7
5,5,ATL,Shelden Williams\willish02,Duke University,6,361,5586,1618,1562,163,.462,.222,.740,15.5,4.5,4.3,0.5,9.9,.085,-2.8,-1.2
6,6,MIN,Brandon Roy\roybr01,University of Washington,6,326,11561,6136,1388,1517,.459,.348,.800,35.5,18.8,4.3,4.7,37.4,.155,3.2,15.2
7,7,BOS,Randy Foye\foyera01,Villanova University,11,752,19279,7729,1686,2112,.401,.366,.852,25.6,10.3,2.2,2.8,23.5,.058,-1.3,3.4
8,8,HOU,Rudy Gay\gayru01,University of Connecticut,13,879,29888,15461,5213,1965,.456,.348,.796,34.0,17.6,5.9,2.2,54.9,.088,0.5,18.9
9,9,GSW,Patrick O'Bryant\obryapa01,Bradley University,4,90,524,186,127,25,.494,.000,.583,5.8,2.1,1.4,0.3,0.5,.046,-3.1,-0.2
10,10,SEA,Mouhamed Sene\senesa01,,3,47,260,103,75,1,.427,,.589,5.5,2.2,1.6,0.0,0.3,.052,-9.3,-0.5
11,11,ORL,J.J. Redick\redicjj01,Duke University,13,836,21660,10784,1688,1692,.448,.413,.890,25.9,12.9,2.0,2.0,58.9,.131,0.0,11.0
12,12,NOK,Hilton Armstrong\armsthi01,University of Connecticut,6,292,3378,880,766,102,.501,.286,.582,11.6,3.0,2.6,0.3,3.9,.055,-2.8,-0.7
13,13,PHI,Thabo Sefolosha\sefolth01,,13,828,18626,4902,3159,1171,.450,.352,.735,22.5,5.9,3.8,1.4,38.6,.100,1.1,14.5
14,14,UTA,Ronnie Brewer\brewero02,University of Arkansas,8,502,11539,3940,1427,828,.490,.254,.675,23.0,7.8,2.8,1.6,30.4,.127,1.7,10.7
15,15,NOK,Cedric Simmons\simmoce01,North Carolina State University,3,75,705,163,141,14,.409,,.390,9.4,2.2,1.9,0.2,0.1,.005,-5.7,-0.7
16,16,CHI,Rodney Carney\carnero01,University of Memphis,5,299,4600,1778,588,132,.422,.338,.704,15.4,5.9,2.0,0.4,6.2,.064,-2.7,-0.8
17,17,IND,Shawne Williams\willish03,University of Memphis,7,314,5368,1769,945,220,.403,.339,.755,17.1,5.6,3.0,0.7,6.7,.060,-2.0,0.0
18,18,WAS,Oleksiy Pecherov\pecheol01,,3,111,1044,438,266,20,.386,.290,.793,9.4,3.9,2.4,0.2,0.5,.025,-7.0,-1.3
19,19,SAC,Quincy Douby\doubyqu01,Rutgers University,3,143,1535,588,152,93,.389,.312,.884,10.7,4.1,1.1,0.7,0.0,.000,-5.4,-1.3
20,20,NYK,Renaldo Balkman\balkmre01,University of South Carolina,6,221,3064,894,769,132,.510,.172,.542,13.9,4.0,3.5,0.6,7.2,.113,0.9,2.2
21,21,PHO,Rajon Rondo\rondora01,University of Kentucky,13,825,26119,8567,3989,6975,.460,.315,.605,31.7,10.4,4.8,8.5,58.4,.107,1.4,22.6
22,22,NJN,Marcus Williams\willima03,University of Connecticut,4,203,3095,1128,361,574,.386,.321,.767,15.2,5.6,1.8,2.8,0.0,-.001,-4.6,-2.0
23,23,NJN,Josh Boone\boonejo01,University of Connecticut,4,256,4482,1340,1258,125,.544,,.445,17.5,5.2,4.9,0.5,9.1,.097,-1.9,0.1
24,24,MEM,Kyle Lowry\lowryky01,Villanova University,13,856,26781,12355,3654,5224,.424,.367,.805,31.3,14.4,4.3,6.1,86.7,.155,3.8,39.3
25,25,CLE,Shannon Brown\brownsh01,Michigan State University,9,408,7329,3118,760,458,.420,.332,.807,18.0,7.6,1.9,1.1,9.2,.060,-2.3,-0.6
26,26,LAL,Jordan Farmar\farmajo01,University of California Los Angeles,10,504,9840,3888,958,1453,.423,.374,.739,19.5,7.7,1.9,2.9,13.9,.068,-1.4,1.6
27,27,PHO,Sergio Rodríguez\rodrise01,,5,353,5281,1747,525,1183,.409,.337,.739,15.0,4.9,1.5,3.4,4.3,.039,-3.2,-1.6
28,28,DAL,Maurice Ager\agerma01,Michigan State University,4,82,505,169,46,19,.339,.250,.566,6.2,2.1,0.6,0.2,-0.9,-.089,-10.4,-1.1
29,29,NYK,Mardy Collins\collima01,Temple University,4,189,2771,742,336,327,.380,.299,.599,14.7,3.9,1.8,1.7,-1.6,-.027,-4.9,-2.0
30,30,POR,Joel Freeland\freeljo01,,3,151,1821,477,518,65,.459,.000,.728,12.1,3.2,3.4,0.4,3.2,.084,-2.5,-0.2
31,31,POR,James White\whiteja02,University of Cincinnati,3,67,583,182,68,35,.438,.340,.676,8.7,2.7,1.0,0.5,0.8,.062,-3.4,-0.2
32,32,HOU,Steve Novak\novakst01,Marquette University,11,467,5657,2177,591,132,.437,.430,.877,12.1,4.7,1.3,0.3,14.5,.123,-0.9,1.6
33,33,ATL,Solomon Jones\jonesso01,University of South Florida,8,281,3092,839,654,99,.467,.111,.717,11.0,3.0,2.3,0.4,5.0,.078,-2.9,-0.7
34,34,LAC,Paul Davis\davispa01,Michigan State University,4,82,702,217,158,32,.402,.000,.732,8.6,2.6,1.9,0.4,0.5,.035,-4.7,-0.5
35,35,TOR,P.J. Tucker\tuckepj01,University of Texas at Austin,8,582,16725,4304,3323,824,.422,.361,.744,28.7,7.4,5.7,1.4,30.0,.086,0.9,12.2
36,36,MIN,Craig Smith\smithcr01,Boston College,6,403,6826,3080,1567,322,.553,.037,.661,16.9,7.6,3.9,0.8,16.0,.113,-1.5,0.9
37,37,MIN,Bobby Jones\jonesbo02,University of Washington,2,91,867,288,149,44,.442,.306,.685,9.5,3.2,1.6,0.5,1.1,.060,-3.5,-0.3
38,38,GSW,Kosta Perović\perovko01,,1,7,38,10,13,1,.300,,.667,5.4,1.4,1.9,0.1,0.0,.060,-6.7,0.0
39,39,MIL,David Noel\noelda01,University of North Carolina,1,68,792,184,123,65,.367,.321,.860,11.6,2.7,1.8,1.0,0.4,.024,-3.4,-0.3
40,40,SEA,Denham Brown,University of Connecticut,,,,,,,,,,,,,,,,,
41,41,ORL,James Augustine\augusja01,University of Illinois at Urbana-Champaign,2,27,156,42,33,4,.514,,.500,5.8,1.6,1.2,0.1,0.3,.101,-2.2,0.0
42,42,CLE,Daniel Gibson\gibsoda01,University of Texas at Austin,7,397,9316,3115,792,775,.402,.407,.780,23.5,7.8,2.0,2.0,16.0,.082,-1.0,2.3
43,43,NOK,Marcus Vinicius\vincima01,,2,26,172,50,19,7,.457,.421,.556,6.6,1.9,0.7,0.3,0.2,.056,-3.6,-0.1
44,44,ORL,Lior Eliyahu\eliyali01,,,,,,,,,,,,,,,,,,
45,45,IND,Alexander Johnson\johnsal01,Florida State University,2,102,1302,439,275,30,.517,,.672,12.8,4.3,2.7,0.3,1.5,.056,-4.3,-0.7
46,46,UTA,Dee Brown\brownde03,University of Illinois at Urbana-Champaign,2,68,711,140,69,119,.340,.250,.643,10.5,2.1,1.0,1.8,0.1,.008,-4.1,-0.4
47,47,UTA,Paul Millsap\millspa01,Louisiana Tech University,13,945,27721,13328,7004,2168,.491,.334,.734,29.3,14.1,7.4,2.3,88.2,.153,3.2,36.4
48,48,WAS,Vladimir Veremeenko\veremvl01,,,,,,,,,,,,,,,,,,
49,49,DEN,Leon Powe\powele01,University of California,5,239,3320,1484,911,78,.515,.000,.682,13.9,6.2,3.8,0.3,12.0,.174,-2.3,-0.2
50,50,CHA,Ryan Hollins\holliry01,University of California Los Angeles,10,518,6134,1913,1140,151,.584,.000,.649,11.8,3.7,2.2,0.3,10.4,.081,-2.6,-1.0
51,51,LAL,Cheikh Samb\sambch01,,2,22,114,22,31,1,.250,.000,.444,5.2,1.0,1.4,0.0,-0.1,-.056,-9.2,-0.2
52,52,LAC,Guillermo Díaz\diazgu01,University of Miami,1,6,18,5,2,1,.250,.000,.600,3.0,0.8,0.3,0.2,0.0,.033,-5.9,0.0
53,53,SEA,Yotam Halperin\halpeyo01,,,,,,,,,,,,,,,,,,
54,54,NJN,Hassan Adams\adamsha01,University of Arizona,2,73,547,185,84,14,.534,.000,.643,7.5,2.5,1.2,0.2,0.8,.072,-4.4,-0.3
55,55,CLE,Ejike Ugboaja\ugboaej01,,,,,,,,,,,,,,,,,,
56,56,TOR,Edin Bavčić\bavcied01,,,,,,,,,,,,,,,,,,
57,57,MIN,Loukas Mavrokefalidis,,,,,,,,,,,,,,,,,,
58,58,DAL,J.R. Pinnock,George Washington University,,,,,,,,,,,,,,,,,
59,59,SAS,Damir Markota\markoda01,,1,30,170,51,31,6,.365,.375,.636,5.7,1.7,1.0,0.2,-0.2,-.070,-9.0,-0.3
60,60,DET,Will Blalock\blalowi01,Iowa State University,1,14,166,25,15,17,.300,.200,1.000,11.9,1.8,1.1,1.2,-0.1,-.032,-5.7,-0.2
