Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Andrew Wiggins\wiggian01,University of Kansas,5,400,14384,7768,1703,867,.440,.332,.735,36.0,19.4,4.3,2.2,13.0,.044,-2.5,-1.8
2,2,MIL,Jabari Parker\parkeja01,Duke University,5,247,7341,3724,1419,525,.491,.337,.739,29.7,15.1,5.7,2.1,11.6,.076,-1.5,0.9
3,3,PHI,Joel Embiid\embiijo01,University of Kansas,3,158,4852,3833,1804,499,.481,.315,.788,30.7,24.3,11.4,3.2,16.8,.166,3.3,6.5
4,4,ORL,Aaron Gordon\gordoaa01,University of Arizona,5,341,9500,4249,2112,736,.450,.321,.707,27.9,12.5,6.2,2.2,18.0,.091,0.2,5.3
5,5,UTA,Dante Exum\exumda01,,4,204,3944,1207,357,462,.400,.304,.770,19.3,5.9,1.8,2.3,2.7,.033,-3.3,-1.3
6,6,BOS,Marcus Smart\smartma01,Oklahoma State University,5,341,9688,3174,1205,1337,.372,.310,.764,28.4,9.3,3.5,3.9,16.2,.080,0.6,6.4
7,7,LAL,Julius Randle\randlju01,University of Kentucky,5,311,8854,4784,2753,847,.502,.307,.722,28.5,15.4,8.9,2.7,17.8,.096,-0.4,3.6
8,8,SAC,Nik Stauskas\stausni01,University of Michigan,5,335,6662,2272,688,513,.389,.353,.814,19.9,6.8,2.1,1.5,3.8,.028,-3.2,-2.1
9,9,CHH,Noah Vonleh\vonleno01,Indiana University,5,299,5295,1528,1617,228,.453,.316,.683,17.7,5.1,5.4,0.8,8.3,.075,-2.6,-0.8
10,10,PHI,Elfrid Payton\paytoel01,University of Louisiana at Lafayette,5,342,10104,3798,1491,2243,.454,.302,.630,29.5,11.1,4.4,6.6,13.3,.063,-0.3,4.2
11,11,DEN,Doug McDermott\mcderdo01,Creighton University,5,341,6798,2659,726,269,.459,.404,.825,19.9,7.8,2.1,0.8,10.6,.075,-3.0,-1.8
12,12,ORL,Dario Šarić\saricda01,,3,240,6462,3039,1490,511,.433,.358,.835,26.9,12.7,6.2,2.1,11.2,.083,-0.6,2.3
13,13,MIN,Zach LaVine\lavinza01,University of California Los Angeles,5,293,8772,4710,990,1021,.446,.373,.824,29.9,16.1,3.4,3.5,8.0,.044,-1.6,0.9
14,14,PHO,T.J. Warren\warretj01,North Carolina State University,5,261,7234,3754,1078,293,.497,.340,.766,27.7,14.4,4.1,1.1,13.0,.086,-1.3,1.3
