Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Ben Simmons\simmobe01,Louisiana State University,2,160,5432,2616,1356,1271,.554,.000,.583,34.0,16.4,8.5,7.9,17.5,.154,4.3,8.7
2,2,LAL,Brandon Ingram\ingrabr01,Duke University,3,190,6014,2639,897,550,.458,.329,.662,31.7,13.9,4.7,2.9,4.5,.036,-2.7,-1.0
3,3,BOS,Jaylen Brown\brownja02,University of California,3,222,5406,2496,879,278,.462,.365,.658,24.4,11.2,4.0,1.3,9.0,.080,-1.8,0.3
4,4,PHO,Dragan Bender\bendedr01,,3,171,3469,907,647,209,.394,.321,.647,20.3,5.3,3.8,1.2,0.2,.002,-3.1,-1.0
5,5,MIN,Kris Dunn\dunnkr01,Providence College,3,176,4247,1511,574,775,.417,.323,.723,24.1,8.6,3.3,4.4,1.6,.018,-1.3,0.7
6,6,NOP,Buddy Hield\hieldbu01,University of Oklahoma,3,244,6527,3640,988,481,.446,.419,.874,26.8,14.9,4.0,2.0,10.0,.073,-0.4,2.7
7,7,DEN,Jamal Murray\murraja01,University of Kentucky,3,238,6776,3530,828,807,.434,.362,.879,28.5,14.8,3.5,3.4,12.0,.085,-0.7,2.2
8,8,SAC,Marquese Chriss\chrisma01,University of Washington,3,197,3769,1491,885,165,.429,.296,.628,19.1,7.6,4.5,0.8,2.3,.029,-2.4,-0.4
9,9,TOR,Jakob Pöltl\poeltja01,University of Utah,3,213,3423,1155,968,162,.643,.500,.560,16.1,5.4,4.5,0.8,12.3,.173,2.9,4.2
10,10,MIL,Thon Maker\makerth01,,3,195,2772,905,541,114,.421,.326,.677,14.2,4.6,2.8,0.6,4.8,.083,-1.7,0.2
11,11,ORL,Domantas Sabonis\sabondo01,Gonzaga University,3,229,5280,2383,1550,445,.513,.343,.722,23.1,10.4,6.8,1.9,13.1,.119,-0.3,2.3
12,12,UTA,Taurean Waller-Prince\princta02,Baylor University,3,196,4997,2235,745,387,.427,.380,.823,25.5,11.4,3.8,2.0,4.6,.044,-1.4,0.8
13,13,PHO,Georgios Papagiannis\papagge01,,2,39,477,160,123,29,.514,.000,.857,12.2,4.1,3.2,0.7,0.4,.044,-3.0,-0.1
14,14,CHI,Denzel Valentine\valende01,Michigan State University,2,134,3071,1074,544,307,.399,.374,.754,22.9,8.0,4.1,2.3,3.1,.048,-1.2,0.6
15,15,DEN,Juan Hernangómez\hernaju01,,3,157,2477,795,506,96,.437,.366,.764,15.8,5.1,3.2,0.6,5.1,.100,-1.3,0.4
16,16,BOS,Guerschon Yabusele\yabusgu01,,2,74,486,173,105,31,.442,.323,.682,6.6,2.3,1.4,0.4,1.1,.105,-1.5,0.1
17,17,MEM,Wade Baldwin\baldwwa01,Vanderbilt University,3,56,579,174,69,78,.355,.250,.776,10.3,3.1,1.2,1.4,-0.3,-.028,-5.7,-0.5
18,18,DET,Henry Ellenson\ellenhe01,Marquette University,3,76,734,325,188,43,.377,.353,.774,9.7,4.3,2.5,0.6,0.3,.022,-6.1,-0.8
19,19,DEN,Malik Beasley\beaslma01,Florida State University,3,165,2627,1196,288,139,.461,.388,.789,15.9,7.2,1.7,0.8,5.0,.092,-1.7,0.2
20,20,IND,Caris LeVert\leverca01,University of Michigan,3,168,4164,1873,599,565,.437,.329,.707,24.8,11.1,3.6,3.4,5.8,.066,-0.6,1.5
21,21,ATL,DeAndre' Bembry\bembrde01,Saint Joseph's University,3,146,2757,924,489,279,.445,.281,.605,18.9,6.3,3.3,1.9,0.8,.014,-2.8,-0.6
22,22,CHO,Malachi Richardson\richama01,Syracuse University,3,70,625,198,70,24,.358,.301,.783,8.9,2.8,1.0,0.3,-0.1,-.009,-6.8,-0.8
23,23,BOS,Ante Žižić\zizican01,,2,91,1296,578,380,58,.583,,.708,14.2,6.4,4.2,0.6,3.0,.110,-2.6,-0.2
24,24,PHI,Timothé Luwawu-Cabarrot\luwawti01,,3,171,2666,975,318,155,.387,.320,.820,15.6,5.7,1.9,0.9,1.8,.033,-4.5,-1.6
25,25,LAC,Brice Johnson\johnsbr02,University of North Carolina,2,21,107,47,34,3,.449,.000,.600,5.1,2.2,1.6,0.1,0.1,.062,-2.5,0.0
26,26,PHI,Furkan Korkmaz\korkmfu01,,2,62,759,302,118,56,.388,.323,.792,12.2,4.9,1.9,0.9,1.1,.070,-2.7,-0.1
27,27,TOR,Pascal Siakam\siakapa01,New Mexico State University,3,216,5086,2172,1098,424,.531,.309,.743,23.5,10.1,5.1,2.0,15.5,.146,2.2,5.4
