Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOH,Anthony Davis\davisan02,University of Kentucky,7,466,16108,11059,4906,982,.517,.314,.795,34.6,23.7,10.5,2.1,72.0,.214,4.8,27.6
2,2,CHA,Michael Kidd-Gilchrist\kiddgmi01,University of Kentucky,7,421,10697,3690,2353,501,.477,.277,.714,25.4,8.8,5.6,1.2,21.2,.095,-1.1,2.4
3,3,WAS,Bradley Beal\bealbr01,University of Florida,7,488,16779,9684,1927,1824,.452,.384,.798,34.4,19.8,3.9,3.7,36.4,.104,1.0,12.6
4,4,CLE,Dion Waiters\waitedi01,Syracuse University,7,409,11628,5394,1084,1143,.412,.347,.692,28.4,13.2,2.7,2.8,8.7,.036,-2.5,-1.6
5,5,SAC,Thomas Robinson\robinth01,University of Kansas,5,313,4204,1528,1507,190,.470,.000,.505,13.4,4.9,4.8,0.6,4.6,.053,-3.2,-1.3
6,6,POR,Damian Lillard\lillada01,Weber State University,7,549,19907,12909,2289,3479,.434,.368,.889,36.3,23.5,4.2,6.3,70.3,.169,4.0,29.9
7,7,GSW,Harrison Barnes\barneha02,University of North Carolina,7,540,16592,7322,2645,830,.446,.374,.795,30.7,13.6,4.9,1.5,29.7,.086,-1.4,2.6
8,8,TOR,Terrence Ross\rosste01,University of Washington,7,492,11942,5163,1366,535,.423,.374,.819,24.3,10.5,2.8,1.1,19.2,.077,-0.8,3.5
9,9,DET,Andre Drummond\drumman01,University of Connecticut,7,542,16711,7661,7424,626,.543,.147,.448,30.8,14.1,13.7,1.2,56.4,.162,1.8,15.9
10,10,NOH,Austin Rivers\riverau01,Duke University,7,484,11923,4457,988,1154,.417,.347,.637,24.6,9.2,2.0,2.4,9.1,.036,-2.8,-2.3
11,11,POR,Meyers Leonard\leoname01,University of Illinois at Urbana-Champaign,7,393,6095,2183,1470,338,.479,.385,.828,15.5,5.6,3.7,0.9,13.4,.106,-1.4,0.9
12,12,HOU,Jeremy Lamb\lambje01,University of Connecticut,7,435,8905,4455,1588,674,.443,.339,.853,20.5,10.2,3.7,1.5,20.8,.112,-0.5,3.4
13,13,PHO,Kendall Marshall\marshke01,University of North Carolina,4,160,3083,802,253,779,.399,.370,.611,19.3,5.0,1.6,4.9,1.0,.015,-5.6,-2.8
14,14,MIL,John Henson\hensojo01,University of North Carolina,7,405,8152,3162,2206,442,.539,.273,.572,20.1,7.8,5.4,1.1,19.3,.114,0.5,5.1
15,15,PHI,Maurice Harkless\harklma01,St. John's University,7,475,10957,3491,1757,437,.476,.323,.614,23.1,7.3,3.7,0.9,19.2,.084,0.2,6.2
16,16,HOU,Royce White\whitero03,Iowa State University,1,3,9,0,0,0,.000,,,3.0,0.0,0.0,0.0,0.0,-.121,-10.4,0.0
17,17,DAL,Tyler Zeller\zellety01,University of North Carolina,7,412,7250,2871,1816,367,.509,.286,.764,17.6,7.0,4.4,0.9,17.1,.113,-1.6,0.8
18,18,HOU,Terrence Jones\joneste01,University of Kentucky,6,234,5562,2431,1334,238,.501,.297,.621,23.8,10.4,5.7,1.0,14.7,.127,0.1,3.0
