Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Anthony Bennett\bennean01,University of Nevada Las Vegas,4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-5.6,-1.7
2,2,ORL,Victor Oladipo\oladivi01,Indiana University,6,402,13360,7028,1859,1589,.443,.352,.793,33.2,17.5,4.6,4.0,24.2,.087,1.1,10.4
3,3,WAS,Otto Porter\porteot01,Georgetown University,6,399,10747,4383,1989,593,.483,.405,.793,26.9,11.0,5.0,1.5,29.1,.130,2.0,10.7
4,4,CHA,Cody Zeller\zelleco01,Indiana University,6,361,8272,2969,2085,495,.511,.263,.740,22.9,8.2,5.8,1.4,24.1,.140,0.8,5.9
5,5,PHO,Alex Len\lenal01,University of Maryland,6,412,8200,3275,2599,345,.487,.349,.695,19.9,7.9,6.3,0.8,15.6,.091,-1.6,0.8
6,6,NOH,Nerlens Noel\noelne01,University of Kentucky,5,300,6850,2445,1940,365,.523,.250,.631,22.8,8.2,6.5,1.2,16.6,.117,1.6,6.3
7,7,SAC,Ben McLemore\mclembe01,University of Kansas,6,368,8725,3239,909,407,.417,.353,.783,23.7,8.8,2.5,1.1,4.6,.025,-2.8,-1.7
8,8,DET,Kentavious Caldwell-Pope\caldwke01,University of Georgia,6,470,13981,5595,1566,767,.412,.345,.799,29.7,11.9,3.3,1.6,23.8,.082,0.1,7.2
9,9,MIN,Trey Burke\burketr01,University of Michigan,6,361,8529,3924,741,1301,.408,.340,.800,23.6,10.9,2.1,3.6,10.2,.058,-2.2,-0.4
10,10,POR,CJ McCollum\mccolcj01,Lehigh University,6,411,12323,7328,1290,1196,.455,.401,.839,30.0,17.8,3.1,2.9,27.9,.109,0.3,7.0
11,11,PHI,Michael Carter-Williams\cartemi01,Syracuse University,6,315,8265,3426,1427,1463,.401,.251,.702,26.2,10.9,4.5,4.6,5.2,.030,-0.7,2.7
12,12,OKC,Steven Adams\adamsst01,University of Pittsburgh,6,467,12527,4507,3446,469,.588,.000,.553,26.8,9.7,7.4,1.0,38.7,.148,1.7,11.8
13,13,DAL,Kelly Olynyk\olynyke01,Gonzaga University,6,433,9347,4287,2116,818,.478,.367,.765,21.6,9.9,4.9,1.9,24.9,.128,1.4,8.1
14,14,UTA,Shabazz Muhammad\muhamsh01,University of California Los Angeles,5,278,4772,2504,770,151,.473,.319,.751,17.2,9.0,2.8,0.5,8.5,.085,-4.1,-2.5
15,15,MIL,Giannis Antetokounmpo\antetgi01,,6,465,15220,8745,3844,1921,.521,.277,.742,32.7,18.8,8.3,4.1,53.2,.168,4.5,24.8
16,16,BOS,Lucas Nogueira\noguelu01,,4,141,1754,446,388,72,.632,.265,.640,12.4,3.2,2.8,0.5,6.0,.165,4.8,3.0
17,17,ATL,Dennis Schröder\schrode01,,6,431,10655,5769,1168,1998,.430,.325,.825,24.7,13.4,2.7,4.6,13.1,.059,-2.0,0.0
18,18,ATL,Shane Larkin\larkish01,University of Miami,4,256,4880,1399,490,737,.422,.336,.777,19.1,5.5,1.9,2.9,4.4,.044,-2.5,-0.6
19,19,CLE,Sergey Karasev\karasse01,,3,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.1,-0.3
20,20,CHI,Tony Snell\snellto01,University of New Mexico,6,442,9637,2762,1045,455,.425,.382,.819,21.8,6.2,2.4,1.0,13.5,.067,-1.9,0.3
21,21,UTA,Gorgui Dieng\dienggo01,University of Louisville,6,452,10248,3594,2812,629,.505,.332,.790,22.7,8.0,6.2,1.4,24.4,.114,1.6,9.2
22,22,BRK,Mason Plumlee\plumlma01,Duke University,6,471,10420,3989,2977,1029,.570,.074,.565,22.1,8.5,6.3,2.2,31.0,.143,2.4,11.6
23,23,IND,Solomon Hill\hillso01,University of Arizona,6,305,6912,1805,997,471,.395,.329,.809,22.7,5.9,3.3,1.5,9.2,.064,-0.7,2.3
24,24,NYK,Tim Hardaway\hardati02,University of Michigan,6,403,10516,5267,1033,740,.418,.343,.816,26.1,13.1,2.6,1.8,15.1,.069,-1.8,0.6
25,25,LAC,Reggie Bullock\bullore01,University of North Carolina,6,272,5240,1856,563,300,.434,.392,.828,19.3,6.8,2.1,1.1,9.7,.089,-0.7,1.7
26,26,MIN,Andre Roberson\roberan03,University of Colorado,5,295,6651,1356,1188,257,.482,.257,.467,22.5,4.6,4.0,0.9,12.7,.092,0.6,4.4
27,27,DEN,Rudy Gobert\goberru01,,6,406,11661,4524,4275,545,.629,.000,.631,28.7,11.1,10.5,1.3,52.8,.218,5.1,21.0
28,28,SAS,Livio Jean-Charles\jeancli01,,,,,,,,,,,,,,,,,,
29,29,OKC,Archie Goodwin\goodwar01,University of Kentucky,4,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-4.2,-1.3
30,30,PHO,Nemanja Nedović\nedovne01,,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-.132,-10.6,-0.3
31,31,CLE,Allen Crabbe\crabbal01,University of California,6,344,8472,3281,996,401,.429,.393,.835,24.6,9.5,2.9,1.2,13.8,.078,-1.0,2.0
32,32,OKC,Álex Abrines\abrinal01,,3,174,2777,924,248,88,.387,.368,.880,16.0,5.3,1.4,0.5,5.0,.086,-2.6,-0.4
33,33,CLE,Carrick Felix\felixca01,Arizona State University,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-4.7,0.0
34,34,HOU,Isaiah Canaan\canaais01,Murray State University,6,235,4799,1913,438,454,.371,.351,.836,20.4,8.1,1.9,1.9,4.3,.043,-3.0,-1.3
35,35,PHI,Glen Rice\ricegl02,Georgia Institute of Technology,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-.065,-7.3,-0.2
36,36,SAC,Ray McCallum\mccalra01,University of Detroit Mercy,3,154,2808,920,306,368,.408,.335,.711,18.2,6.0,2.0,2.4,2.1,.035,-2.8,-0.6
37,37,DET,Tony Mitchell\mitchto02,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,1.3,0.1
38,38,WAS,Nate Wolters\woltena01,South Dakota State University,3,84,1575,461,185,209,.423,.261,.635,18.8,5.5,2.2,2.5,0.9,.028,-4.0,-0.8
39,39,POR,Jeff Withey\witheje01,University of Kansas,5,206,2072,666,518,64,.525,.143,.716,10.1,3.2,2.5,0.3,6.8,.157,0.6,1.4
40,40,POR,Grant Jerrett\jerregr01,University of Arizona,1,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-.128,-8.4,-0.1
41,41,MEM,Jamaal Franklin\frankja01,San Diego State University,2,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-.006,-5.4,-0.1
42,42,PHI,Pierre Jackson\jackspi01,Baylor University,1,8,84,35,9,19,.333,.273,.857,10.5,4.4,1.1,2.4,0.0,.021,-4.4,-0.1
43,43,MIL,Ricky Ledo\ledori01,Providence College,2,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-.096,-7.8,-0.4
44,44,DAL,Mike Muscala\muscami01,Bucknell University,6,307,4885,1757,1002,288,.468,.365,.841,15.9,5.7,3.3,0.9,11.9,.117,0.0,2.5
45,45,POR,Marko Todorović\todorma01,,,,,,,,,,,,,,,,,,
46,46,UTA,Erick Green\greener01,Virginia Polytechnic Institute and State University,2,52,452,159,37,42,.377,.288,.857,8.7,3.1,0.7,0.8,0.1,.011,-5.1,-0.3
47,47,ATL,Raul Neto\netora01,,4,199,2817,955,261,376,.443,.377,.776,14.2,4.8,1.3,1.9,4.6,.078,-2.1,-0.1
48,48,LAL,Ryan Kelly\kellyry01,Duke University,4,163,3125,981,504,215,.378,.316,.797,19.2,6.0,3.1,1.3,3.0,.046,-2.2,-0.2
49,49,CHI,Erik Murphy\murpher01,University of Florida,1,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-.055,-8.1,-0.1
50,50,ATL,James Ennis\ennisja01,California State University Long Beach,5,278,5715,1801,883,245,.457,.357,.793,20.6,6.5,3.2,0.9,11.7,.098,-0.6,2.0
51,51,ORL,Romero Osby,University of Oklahoma,,,,,,,,,,,,,,,,,
52,52,MIN,Lorenzo Brown\brownlo01,North Carolina State University,5,103,1185,293,151,183,.364,.170,.707,11.5,2.8,1.5,1.8,-0.2,-.007,-4.1,-0.6
53,53,IND,Colton Iverson\iversco01,Colorado State University,,,,,,,,,,,,,,,,,
54,54,WAS,Arsalan Kazemi\kazemar01,University of Oregon,,,,,,,,,,,,,,,,,
55,55,MEM,Joffrey Lauvergne\lauvejo01,,4,208,2823,1159,789,180,.479,.285,.719,13.6,5.6,3.8,0.9,5.2,.089,-2.6,-0.4
56,56,DET,Peyton Siva\sivape01,University of Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-.032,-7.3,-0.3
57,57,PHO,Alex Oriakhi\oriakal01,University of Missouri,,,,,,,,,,,,,,,,,
58,58,SAS,Deshaun Thomas\thomade01,Ohio State University,,,,,,,,,,,,,,,,,
59,59,MIN,Bojan Dubljević\dubljbo01,,,,,,,,,,,,,,,,,,
60,60,MEM,Jānis Timma\timmaja01,,,,,,,,,,,,,,,,,,
