Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Kyrie Irving\irvinky01,Duke University,8,508,17169,11294,1852,2884,.465,.390,.875,33.8,22.2,3.6,5.7,58.4,.163,3.7,24.9
2,2,MIN,Derrick Williams\willide02,University of Arizona,7,428,8864,3809,1693,293,.434,.300,.710,20.7,8.9,4.0,0.7,14.1,.076,-3.2,-2.6
3,3,UTA,Enes Kanter\kanteen01,,8,583,12949,6946,4436,490,.541,.294,.780,22.2,11.9,7.6,0.8,39.6,.147,-1.3,2.1
4,4,CLE,Tristan Thompson\thomptr01,University of Texas at Austin,8,562,15651,5155,4816,504,.519,.000,.610,27.8,9.2,8.6,0.9,40.0,.123,-0.6,5.5
5,5,TOR,Jonas Valančiūnas\valanjo01,,7,489,12301,5903,4164,391,.558,.357,.786,25.2,12.1,8.5,0.8,45.3,.177,0.0,6.1
6,6,WAS,Jan Veselý\veselja01,,3,162,2455,590,562,96,.521,.000,.408,15.2,3.6,3.5,0.6,4.0,.078,-0.6,0.9
7,7,SAC,Bismack Biyombo\biyombi01,,8,583,11835,2880,3660,288,.517,.000,.571,20.3,4.9,6.3,0.5,22.9,.093,-2.0,0.1
8,8,DET,Brandon Knight\knighbr03,University of Kentucky,7,421,12675,6086,1336,1700,.413,.354,.812,30.1,14.5,3.2,4.0,11.6,.044,-1.5,1.7
9,9,CHA,Kemba Walker\walkeke02,University of Connecticut,8,605,20607,12009,2317,3308,.418,.357,.835,34.1,19.8,3.8,5.5,48.5,.113,2.5,23.2
10,10,MIL,Jimmer Fredette\fredeji01,Brigham Young University,6,241,3213,1438,243,331,.409,.372,.879,13.3,6.0,1.0,1.4,2.2,.033,-4.2,-1.8
11,11,GSW,Klay Thompson\thompkl01,Washington State University,8,615,20340,11995,2130,1416,.459,.419,.848,33.1,19.5,3.5,2.3,46.8,.110,0.2,11.3
12,12,UTA,Alec Burks\burksal01,University of Colorado,8,429,9052,4089,1304,729,.423,.355,.771,21.1,9.5,3.0,1.7,13.0,.069,-2.2,-0.5
13,13,PHO,Markieff Morris\morrima02,University of Kansas,8,579,15039,6726,3185,980,.449,.338,.778,26.0,11.6,5.5,1.7,23.7,.076,-0.8,4.5
14,14,HOU,Marcus Morris\morrima03,University of Kansas,8,545,14454,6293,2514,828,.431,.360,.747,26.5,11.5,4.6,1.5,26.8,.089,-0.6,4.9
15,15,IND,Kawhi Leonard\leonaka01,San Diego State University,8,467,14404,8250,2950,1123,.495,.383,.848,30.8,17.7,6.3,2.4,65.8,.219,6.1,29.4
16,16,PHI,Nikola Vučević\vucevni01,University of Southern California,8,536,16105,8411,5437,1310,.502,.332,.741,30.0,15.7,10.1,2.4,41.7,.124,1.7,15.2
17,17,NYK,Iman Shumpert\shumpim01,Georgia Institute of Technology,8,446,11218,3264,1499,833,.393,.340,.766,25.2,7.3,3.4,1.9,12.9,.055,-0.5,4.2
18,18,WAS,Chris Singleton\singlch01,Florida State University,3,148,2605,612,472,92,.376,.319,.633,17.6,4.1,3.2,0.6,2.3,.042,-2.3,-0.2
19,19,CHA,Tobias Harris\harrito02,University of Tennessee,8,546,16592,8435,3250,1029,.471,.364,.822,30.4,15.4,6.0,1.9,39.4,.114,0.1,9.0
20,20,MIN,Donatas Motiejūnas\motiedo01,,6,251,4566,1832,952,269,.469,.300,.597,18.2,7.3,3.8,1.1,7.1,.075,-2.0,0.0
21,21,POR,Nolan Smith\smithno01,Duke University,2,84,829,277,83,97,.371,.260,.714,9.9,3.3,1.0,1.2,-0.8,-.047,-6.5,-0.9
22,22,DEN,Kenneth Faried\farieke01,Morehead State University,8,478,11728,5430,3884,470,.546,.222,.654,24.5,11.4,8.1,1.0,38.8,.159,1.1,9.3
23,23,HOU,Nikola Mirotić\mirotni01,,5,319,7718,3910,1894,407,.423,.359,.808,24.2,12.3,5.9,1.3,20.8,.129,0.7,5.3
24,24,OKC,Reggie Jackson\jacksre01,Boston College,8,530,13377,6835,1567,2330,.429,.333,.859,25.2,12.9,3.0,4.4,28.2,.101,-0.1,6.6
25,25,BOS,MarShon Brooks\brookma01,Providence College,5,200,3456,1592,424,282,.447,.345,.751,17.3,8.0,2.1,1.4,3.3,.046,-2.5,-0.4
26,26,DAL,Jordan Hamilton\hamiljo02,University of Texas at Austin,5,151,2100,890,429,127,.408,.357,.670,13.9,5.9,2.8,0.8,3.0,.069,-1.5,0.3
27,27,NJN,JaJuan Johnson\johnsja02,Purdue University,1,36,298,114,58,6,.446,,.667,8.3,3.2,1.6,0.2,0.2,.032,-6.3,-0.3
28,28,CHI,Norris Cole\coleno01,Cleveland State University,6,360,8018,2506,702,981,.407,.324,.743,22.3,7.0,2.0,2.7,3.0,.018,-4.0,-4.0
29,29,SAS,Cory Joseph\josepco01,University of Texas at Austin,8,528,11356,3665,1363,1485,.444,.327,.761,21.5,6.9,2.6,2.8,21.8,.092,-0.6,3.9
30,30,CHI,Jimmy Butler\butleji01,Marquette University,8,523,17229,8730,2577,1805,.454,.341,.835,32.9,16.7,4.9,3.5,66.1,.184,4.0,26.0
31,31,MIA,Bojan Bogdanović\bogdabo02,,5,399,11089,5295,1348,558,.463,.389,.846,27.8,13.3,3.4,1.4,18.4,.080,-1.7,1.0
32,32,CLE,Justin Harper\harpeju01,University of Richmond,3,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-.093,-8.4,-0.2
33,33,DET,Kyle Singler\singlky01,Duke University,6,356,7794,2326,1026,272,.418,.362,.786,21.9,6.5,2.9,0.8,10.0,.062,-1.6,0.7
34,34,WAS,Shelvin Mack\macksh01,Butler University,8,456,8392,2997,894,1421,.423,.330,.731,18.4,6.6,2.0,3.1,10.3,.059,-2.7,-1.5
35,35,SAC,Tyler Honeycutt\honeyty01,University of California Los Angeles,2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-.049,-6.4,-0.1
36,36,NJN,Jordan Williams\willijo03,University of Maryland,1,43,635,197,156,11,.507,,.652,14.8,4.6,3.6,0.3,1.3,.101,-3.1,-0.2
37,37,LAC,Trey Thompkins\thomptr02,University of Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-8.9,-0.2
38,38,HOU,Chandler Parsons\parsoch01,University of Florida,8,435,13192,5557,1965,1198,.462,.373,.713,30.3,12.8,4.5,2.8,29.0,.106,1.6,12.0
39,39,CHA,Jeremy Tyler\tylerje01,,3,104,1034,373,269,25,.450,.000,.557,9.9,3.6,2.6,0.2,0.3,.014,-6.6,-1.2
40,40,MIL,Jon Leuer\leuerjo01,University of Wisconsin,8,377,5945,2395,1426,301,.484,.328,.767,15.8,6.4,3.8,0.8,13.2,.107,-1.4,0.9
41,41,LAL,Darius Morris\morrida01,University of Michigan,4,132,1464,430,126,189,.384,.322,.630,11.1,3.3,1.0,1.4,-0.3,-.010,-5.6,-1.3
42,42,IND,Dāvis Bertāns\bertada01,,3,220,3526,1365,515,220,.444,.404,.846,16.0,6.2,2.3,1.0,9.3,.127,1.3,2.9
43,43,CHI,Malcolm Lee\leema01,University of California Los Angeles,3,36,534,140,65,51,.382,.294,.703,14.8,3.9,1.8,1.4,0.4,.040,-2.0,0.0
44,44,GSW,Charles Jenkins\jenkich01,Hofstra University,2,110,1334,408,100,214,.434,.182,.754,12.1,3.7,0.9,1.9,0.5,.017,-5.9,-1.3
45,45,NOH,Josh Harrellson\harrejo01,University of Kentucky,3,75,888,265,227,26,.438,.347,.629,11.8,3.5,3.0,0.3,2.1,.116,-0.7,0.3
46,46,LAL,Andrew Goudelock\goudean01,College of Charleston,3,49,475,197,34,24,.393,.345,.875,9.7,4.0,0.7,0.5,0.0,.003,-6.5,-0.5
47,47,LAC,Travis Leslie\leslitr01,University of Georgia,1,10,45,14,9,5,.357,,.444,4.5,1.4,0.9,0.5,0.1,.060,-0.2,0.0
48,48,ATL,Keith Benson\bensoke02,Oakland University,1,3,9,0,3,0,.000,,,3.0,0.0,1.0,0.0,0.0,-.005,-10.4,0.0
49,49,MEM,Josh Selby\selbyjo01,University of Kansas,2,38,296,83,20,34,.330,.143,.720,7.8,2.2,0.5,0.9,-0.7,-.113,-10.1,-0.6
50,50,PHI,Lavoy Allen\allenla01,Temple University,6,388,6905,1847,1843,384,.471,.133,.682,17.8,4.8,4.8,1.0,13.8,.096,-1.2,1.3
51,51,POR,Jon Diebler\diebljo01,Ohio State University,,,,,,,,,,,,,,,,,
52,52,DET,Vernon Macklin\macklve01,University of Florida,1,23,135,46,34,5,.543,,.571,5.9,2.0,1.5,0.2,0.5,.161,-0.6,0.0
53,53,ORL,DeAndre Liggins\liggide01,University of Kentucky,5,177,1907,346,252,122,.402,.352,.549,10.8,2.0,1.4,0.7,1.6,.040,-2.0,0.0
54,54,CLE,Milan Mačvan\macvami01,,,,,,,,,,,,,,,,,,
55,55,BOS,E'Twaun Moore\mooreet01,Purdue University,8,515,11155,4144,1032,937,.458,.392,.744,21.7,8.0,2.0,1.8,13.5,.058,-1.8,0.7
56,56,LAL,Chukwudiebere Maduabum\maduach01,,,,,,,,,,,,,,,,,,
57,57,DAL,Targuy Ngombo,,,,,,,,,,,,,,,,,,
58,58,LAL,Ater Majok\majokat01,,,,,,,,,,,,,,,,,,
59,59,SAS,Ádám Hanga\hangaad01,,,,,,,,,,,,,,,,,,
