Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shareef Abdur-Rahim,PF,31,SAC,6,51,5.5,0.317,0,0.286,14.2,9.1,11.6,11.1,1,0,6,14.7,,0,0,0,-0.005,,-3.6,-2.1,-5.7,0
2,Arron Afflalo,SG,22,DET,75,970,10.2,0.494,0.199,0.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,,0.5,1.4,1.9,0.092,,-2.3,0.6,-1.6,0.1
3,Maurice Ager,SG,23,TOT,26,165,1.8,0.363,0.292,0.185,2.8,6.3,4.6,8,0,0.4,7.9,21.3,,-0.4,0,-0.4,-0.114,,-6.8,-4.5,-11.3,-0.4
3,Maurice Ager,SG,23,DAL,12,77,-4.4,0.253,0.296,0.222,1.6,4.4,3,7.4,0,1,9.2,19.8,,-0.3,0,-0.3,-0.181,,-9.6,-3.5,-13.1,-0.2
3,Maurice Ager,SG,23,NJN,14,88,7.1,0.443,0.289,0.158,3.9,7.9,5.9,8.4,0,0,6.9,22.7,,-0.1,0,-0.1,-0.056,,-4.4,-5.4,-9.8,-0.2
4,Blake Ahearn,PG,23,MIA,12,177,9,0.495,0.596,0.544,0.7,12.4,6.4,17.2,1.8,0,18.5,23.2,,-0.1,0.1,0,-0.006,,-2.8,-2.8,-5.6,-0.2
5,LaMarcus Aldridge,PF,22,POR,76,2649,18.5,0.523,0.006,0.257,9.8,15.8,12.8,8.8,1.1,2.8,8.9,25.3,,3.5,2.8,6.2,0.113,,0.1,0.7,0.8,1.8
6,Malik Allen,PF,29,TOT,73,1096,9.8,0.5,0.006,0.076,7,13.6,10.4,6.8,0.9,2.2,11.7,16.1,,0.1,0.9,1,0.045,,-3.6,-0.3,-3.9,-0.5
6,Malik Allen,PF,29,NJN,48,763,10.1,0.489,0.008,0.05,6.4,13.1,9.7,6.8,1,2.1,10.7,17.9,,-0.2,0.5,0.4,0.023,,-4.3,-0.9,-5.1,-0.6
6,Malik Allen,PF,29,DAL,25,333,9.1,0.54,0,0.182,8.6,14.8,11.8,6.7,0.6,2.2,15.4,11.8,,0.3,0.4,0.7,0.096,,-2.2,1,-1.1,0.1
7,Ray Allen*,SG,32,BOS,73,2624,16.4,0.584,0.458,0.24,3.6,8.3,6.1,14.6,1.3,0.5,10.4,21.6,,5.6,4.1,9.7,0.177,,3.2,-0.1,3.1,3.4
8,Tony Allen,SG,26,BOS,75,1373,10.7,0.527,0.147,0.465,3.1,11,7.3,13.1,2.4,1.3,18.9,19.6,,-0.1,2.8,2.7,0.093,,-3.2,1.8,-1.4,0.2
9,Lance Allred,C,26,CLE,3,10,-1,0.307,0,0.5,0,11.8,5.7,0,0,0,0,22.1,,0,0,0,-0.125,,-12.6,-7.1,-19.7,0
10,Morris Almond,SG,22,UTA,9,39,2,0.368,0.267,0.4,0,6.2,3.1,10.5,1.3,0,10.2,22.5,,-0.1,0,-0.1,-0.081,,-6.9,-4,-11,-0.1
11,Rafer Alston,PG,31,HOU,74,2526,13.2,0.492,0.44,0.148,1.3,10.2,5.8,25.2,2.1,0.5,14,20.7,,1,4,5,0.095,,0.2,0.7,1,1.9
12,Lou Amundson,PF,25,PHI,16,64,7.4,0.472,0,0.438,12.9,9.4,11.1,0,0.8,1.2,9.5,14.9,,0,0,0.1,0.043,,-4.5,-4.3,-8.8,-0.1
13,Chris Andersen,C,29,NOH,5,34,6.1,0.342,0,0.571,6.7,24.6,15.5,0,0,9.2,10.2,13.3,,-0.1,0.1,0,0.012,,-10.4,0.8,-9.6,-0.1
14,Derek Anderson,SG,33,CHA,28,396,10,0.497,0.416,0.304,2.6,12.6,7.5,17.8,1.6,0.2,15,19.3,,0,0.3,0.3,0.032,,-1.9,-1.8,-3.7,-0.2
15,Carmelo Anthony,SF,23,DEN,77,2806,21.1,0.568,0.111,0.398,7,14.9,11,16.1,1.7,1,12.7,30.2,,5.2,3,8.2,0.14,,2.2,-0.6,1.6,2.6
16,Joel Anthony,PF,25,MIA,24,498,8.8,0.521,0,0.817,9,13.4,11.2,0.9,1,5,17.2,9.4,,0.1,0.4,0.6,0.054,,-4.8,1.4,-3.4,-0.2
17,Gilbert Arenas,PG,26,WAS,13,425,18.2,0.529,0.398,0.49,1.6,12.8,7,27.4,2.9,0.2,17.1,31.1,,0.2,0.4,0.6,0.07,,2.3,-1.6,0.7,0.3
18,Trevor Ariza,SF,22,TOT,35,546,16.1,0.568,0.132,0.551,6.4,15.4,11.1,11.8,2.9,1.5,12,15.6,,0.9,0.9,1.8,0.157,,0,1.8,1.8,0.5
18,Trevor Ariza,SF,22,ORL,11,115,12.7,0.479,0.097,0.484,5.2,18.3,12,10.7,2.2,1.9,11.7,17,,0,0.2,0.2,0.085,,-3.4,1.9,-1.5,0
