Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shareef Abdur-Rahim,PF,29,SAC,72,1961,17.2,0.588,0.035,0.44,6.4,14.8,10.6,13.2,1.3,1.6,12.5,20.1,,4,2.2,6.2,0.152,,0.4,0.4,0.9,1.4
2,Alex Acker,SG,23,DET,5,35,-2.4,0.281,0.313,0,3.4,13.7,8.5,17.9,1.6,0,20,27.2,,-0.2,0,-0.2,-0.23,,-10.4,-1.9,-12.3,-0.1
3,Malik Allen,PF,27,CHI,54,701,11.5,0.504,0.004,0.154,7.2,15.7,11.5,4.9,1,1.8,11.4,19.2,,0,1,1,0.068,,-3.9,0,-3.9,-0.3
4,Ray Allen*,SG,30,SEA,78,3022,22.2,0.59,0.435,0.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,,9.8,-0.3,9.5,0.15,,6.7,-3.1,3.6,4.2
5,Tony Allen,PG,24,BOS,51,978,12.9,0.554,0.124,0.489,4.1,9.6,6.9,11.2,2.7,1.4,16.8,18.8,,0.6,1,1.7,0.082,,-1.6,0.2,-1.4,0.2
6,Rafer Alston,PG,29,HOU,63,2431,12.6,0.475,0.423,0.194,1.8,10.4,6.1,30.8,2.3,0.5,16.4,18.8,,0.2,3.1,3.4,0.067,,0.1,0.7,0.8,1.7
7,Chris Andersen,C,27,NOK,32,570,14.1,0.562,0,1.051,12.4,20.2,16.2,1.7,0.8,5.9,15.4,13.9,,0.6,0.7,1.3,0.112,,-2.8,1.3,-1.5,0.1
8,Alan Anderson,SF,23,CHA,36,564,10.4,0.52,0.32,0.227,4.4,10.3,7.2,9.3,1,0.6,13.9,18.2,,0.2,0.3,0.4,0.037,,-1.9,-1.8,-3.7,-0.2
9,Derek Anderson,SG,31,TOT,43,1047,10.8,0.496,0.442,0.366,2.4,13.3,8,15.7,1.2,0.5,13.3,18.2,,0.5,1.1,1.6,0.074,,-1.2,-0.4,-1.5,0.1
9,Derek Anderson,SG,31,HOU,20,582,12.5,0.527,0.387,0.422,2.5,14.1,8.4,16.1,1.4,0.6,15.3,19.8,,0.3,0.7,1,0.084,,-1,0.2,-0.8,0.2
9,Derek Anderson,SG,31,MIA,23,465,8.7,0.453,0.515,0.292,2.4,12.4,7.6,15.1,0.9,0.3,10.4,16.3,,0.2,0.4,0.6,0.061,,-1.4,-1.1,-2.5,-0.1
10,Shandon Anderson,SF,32,MIA,48,638,6.2,0.47,0.151,0.143,3.5,11.1,7.5,6.9,1.4,0.7,15.2,11.4,,-0.1,0.7,0.5,0.039,,-3.7,0.4,-3.3,-0.2
11,Martynas Andriuškevičius,C,19,CLE,6,9,15.5,0,0,0,13,39.8,26.3,0,11.9,0,0,5.1,,0,0,0,0.155,,-6.8,6.8,0.1,0
12,Carmelo Anthony,SF,21,DEN,80,2941,22,0.563,0.097,0.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32,,6.8,2.6,9.4,0.153,,3,-1.6,1.5,2.6
13,Rafael Araújo,C,25,TOR,52,601,4.5,0.385,0.007,0.193,8.4,21.5,14.6,3.7,2.1,0.8,21.1,15.3,,-1.2,0.4,-0.8,-0.066,,-6.9,-0.6,-7.5,-0.8
14,Gilbert Arenas,PG,24,WAS,80,3384,23.8,0.581,0.324,0.479,2,7.8,4.8,27,2.5,0.6,12.8,30.5,,11,2.6,13.6,0.193,,6.9,-1.4,5.5,6.4
15,Trevor Ariza,SF,20,TOT,57,999,11.8,0.468,0.022,0.562,9.6,17.1,13.3,9.8,3,0.9,18,15.8,,-0.1,1,0.9,0.043,,-2.1,1.5,-0.6,0.3
15,Trevor Ariza,SF,20,NYK,36,709,10.2,0.459,0.021,0.527,8.3,15.3,11.7,10.4,3.2,1,20.4,14.4,,-0.4,0.6,0.3,0.02,,-2.3,2,-0.3,0.3
15,Trevor Ariza,SF,20,ORL,21,290,15.8,0.485,0.025,0.625,12.7,21.5,17.3,8.3,2.6,0.5,13.6,19.3,,0.2,0.4,0.6,0.101,,-1.6,0.2,-1.4,0
16,Darrell Armstrong,PG,37,DAL,62,622,7.3,0.444,0.375,0.328,3.6,12,7.8,20.6,2.4,0.4,28.4,15.4,,-0.7,0.7,0,0.003,,-3.1,0.2,-2.9,-0.1
17,Carlos Arroyo,PG-SG,26,TOT,77,1194,15.6,0.512,0.053,0.362,3.3,9.8,6.6,31.6,1.7,0.2,15.9,20.7,,1.6,1.1,2.7,0.107,,-0.6,-1.7,-2.3,-0.1
17,Carlos Arroyo,PG,26,DET,50,600,12.5,0.433,0.038,0.369,4.7,9.2,6.9,39.3,1.8,0.4,19.8,18,,0.3,0.7,1,0.079,,-2.6,-1.4,-4,-0.3
17,Carlos Arroyo,SG,26,ORL,27,594,18.8,0.569,0.063,0.357,1.9,10.3,6.2,23.8,1.7,0.1,12.9,23.4,,1.3,0.4,1.7,0.135,,1.3,-2,-0.6,0.2
18,Chucky Atkins,PG-SG,31,TOT,71,1713,12.9,0.526,0.478,0.284,1.6,6.8,4.2,20,1.4,0.1,11.9,20.2,,2.1,1.4,3.6,0.1,,0.9,-2.4,-1.6,0.2
18,Chucky Atkins,SG,31,WAS,28,552,10.4,0.498,0.529,0.178,2.5,7.2,4.7,19.8,1.3,0,13.8,17.6,,0.4,0.2,0.6,0.056,,0,-2.8,-2.8,-0.1
18,Chucky Atkins,PG,31,MEM,43,1161,14.1,0.537,0.456,0.331,1.2,6.6,3.9,20.1,1.4,0.1,11.1,21.5,,1.7,1.2,2.9,0.121,,1.3,-2.3,-1,0.3
19,Stacey Augmon,SF,37,ORL,36,385,7.6,0.412,0,0.411,5.9,10.9,8.5,9,1.7,1.2,11.3,12,,0,0.3,0.3,0.033,,-3.5,0.4,-3.1,-0.1
20,Vin Baker,C,34,LAC,8,85,11.2,0.589,0,1.2,2.9,22.2,13,7,2.5,3.5,28.2,17.4,,0,0.2,0.1,0.072,,-5.7,2.8,-2.8,0
21,Marcus Banks,PG,24,TOT,58,1497,13.6,0.543,0.135,0.314,1.9,8.8,5.4,25.3,1.9,0.6,18.3,20.6,,0.9,1.4,2.3,0.074,,-0.7,-0.9,-1.6,0.1
21,Marcus Banks,PG,24,BOS,18,269,9.4,0.531,0.238,0.375,1.9,6.6,4.3,19.2,1.4,0,19.8,19.9,,0,0.1,0.2,0.033,,-2.7,-3.1,-5.8,-0.3
21,Marcus Banks,PG,24,MIN,40,1228,14.5,0.545,0.113,0.302,1.9,9.2,5.7,26.6,2.1,0.7,17.9,20.7,,0.8,1.3,2.1,0.083,,-0.3,-0.4,-0.7,0.4
22,Leandro Barbosa,SG,23,PHO,57,1592,15.1,0.589,0.346,0.259,2.2,8.1,5.2,14.4,1.5,0.3,12.3,20.3,,2.6,1.2,3.8,0.115,,1.5,-1.1,0.3,0.9
23,Matt Barnes,PF-SF,25,TOT,56,631,10.7,0.545,0.107,0.336,8.9,13.7,11.3,7,1.6,0.8,15.7,13.8,,0.5,0.4,1,0.075,,-1.9,-0.9,-2.8,-0.1
23,Matt Barnes,SF,25,NYK,6,93,9.8,0.409,0.133,0.133,9.1,22.5,15.7,10.9,2.3,0,15.9,18.4,,-0.1,0.1,0,-0.012,,-3.7,-0.2,-3.9,0
23,Matt Barnes,PF,25,PHI,50,538,10.8,0.578,0.1,0.391,8.9,12.2,10.5,6.3,1.5,1,15.7,13,,0.6,0.4,1,0.09,,-1.6,-1,-2.6,-0.1
24,Andre Barrett,PG,23,TOT,19,282,11.3,0.398,0.135,0.115,3.7,7.1,5.4,29.5,1.9,0,12.1,20.3,,-0.1,0,-0.1,-0.019,,-2.5,-3.2,-5.7,-0.3
24,Andre Barrett,PG,23,PHO,2,21,14.1,0.541,0.143,0.429,5.4,10.3,7.9,13.3,0,0,10.7,19.9,,0,0,0,0.109,,-1.7,-3.1,-4.9,0
24,Andre Barrett,PG,23,TOR,17,261,11,0.386,0.134,0.093,3.6,6.8,5.2,30.9,2,0,12.2,20.4,,-0.2,0,-0.2,-0.029,,-2.6,-3.2,-5.8,-0.2
25,Earl Barron,C,24,MIA,8,45,-2.8,0.366,0,0.25,5.5,20.1,13.1,0,0,0,22,23.4,,-0.2,0,-0.2,-0.167,,-13.9,-6.4,-20.4,-0.2
26,Brent Barry,SG,34,SAS,74,1259,14.8,0.581,0.586,0.171,2.8,11.9,7.5,15.5,1.7,1.5,12.3,16,,2.1,2.2,4.3,0.162,,1.5,1.2,2.7,1.5
27,Jon Barry,SG,36,HOU,20,342,8.5,0.553,0.492,0.446,0.3,10.1,5.3,12.5,2.1,0.2,22.1,13.9,,0,0.4,0.4,0.055,,-3.2,0.3,-2.8,-0.1
28,Eddie Basden,SF,22,CHI,19,141,10.3,0.471,0.189,0.27,5.7,17,11.4,8.8,3.3,1.1,17.9,16.1,,-0.1,0.3,0.2,0.065,,-4,2.7,-1.4,0
29,Brandon Bass,PF,20,NOK,29,268,9.1,0.434,0,0.271,7.8,22.8,15.1,1.8,0.6,2.2,12.3,15.6,,-0.2,0.3,0.1,0.013,,-6.6,-1.5,-8.2,-0.4
30,Esteban Batista,PF,22,ATL,57,495,7.1,0.489,0.013,0.663,14.4,20.7,17.5,2.1,1.6,1.7,26.9,13,,-0.2,0.3,0.1,0.011,,-4.9,-1.7,-6.6,-0.6
31,Tony Battie,C,29,ORL,82,2215,12.2,0.531,0.011,0.243,8.3,16.9,12.7,3.7,1.1,2.5,12.6,14.9,,1.7,2.2,3.8,0.083,,-1.8,0.5,-1.3,0.4
32,Shane Battier,SF,27,MEM,81,2839,14.7,0.574,0.266,0.335,7.1,11.2,9.2,8.2,1.8,3.2,11.2,13.7,,4.6,4.5,9.1,0.153,,0.9,3.1,4,4.3
33,Lonny Baxter,C-PF,27,TOT,41,400,11.9,0.494,0,0.337,13.2,21.3,17.1,1.7,1.5,1.6,14.3,16.2,,0.1,0.6,0.7,0.088,,-4.8,-1.1,-5.9,-0.4
33,Lonny Baxter,C,27,HOU,23,281,13.1,0.51,0,0.264,16.1,18.9,17.5,1.3,1.7,2,13.9,15.8,,0.2,0.5,0.7,0.119,,-3.6,-0.7,-4.3,-0.2
33,Lonny Baxter,PF,27,CHA,18,119,9.2,0.461,0,0.5,6.4,27.1,16.1,2.6,0.9,0.7,15.2,17.2,,-0.1,0.1,0,0.014,,-7.6,-2.2,-9.8,-0.2
34,Charlie Bell,SG,26,MIL,59,1283,14.7,0.55,0.41,0.217,1.9,9.3,5.6,16.6,2.4,0.3,8.4,17.5,,2.2,1.1,3.3,0.123,,1.6,-0.7,0.9,0.9
35,Raja Bell,SG,29,PHO,79,2959,12.9,0.584,0.48,0.157,1.7,7.7,4.7,9.8,1.3,0.5,8.2,16.4,,4.7,2.1,6.8,0.11,,2.1,-0.3,1.8,2.8
36,Jonathan Bender,SF,25,IND,2,21,26.4,0.85,0,0.4,0,21.3,11,18.5,0,3.5,0,13,,0.1,0,0.2,0.359,,3.7,1.1,4.8,0
