Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
28,Leandro Barbosa,SG,29,IND,22,436,13.4,0.496,0.322,0.18,3.1,9.5,6.3,13.3,2.4,0,11.6,23.2,,0.2,0.5,0.7,0.076,,0.2,-1.6,-1.4,0.1
29,J.J. Barea,PG,27,MIN,41,1032,14.9,0.502,0.342,0.234,1.5,10.8,6.1,39,1,0,18.3,24.3,,0.8,0.4,1.2,0.056,,1.1,-2.4,-1.3,0.2
30,Andrea Bargnani,C,26,TOR,31,1032,17.9,0.538,0.238,0.357,2.8,16.6,9.8,11.6,0.9,1.2,11,28.7,,1.3,0.9,2.2,0.104,,0.8,-1.5,-0.8,0.3
31,Matt Barnes,SF,31,LAL,63,1440,15.5,0.554,0.357,0.331,7.9,18.3,13.3,13.8,1.3,2.4,14.1,16.4,,2.4,1.8,4.3,0.142,,1.1,1.5,2.6,1.7
32,Earl Barron,C,30,GSW,2,9,4.7,0.5,0,0,12.6,0,6.3,0,0,0,0,20.5,,0,0,0,0.054,,-2,-8.3,-10.3,0
33,Brandon Bass,PF,26,BOS,59,1868,14.1,0.524,0,0.258,6.3,16.3,11.5,5.1,1,2.2,8.5,19.8,,1.5,3.2,4.7,0.122,,-2.1,1.1,-1.1,0.4
34,Tony Battie,C,35,PHI,27,295,7.3,0.398,0.02,0.078,3,22.3,12.6,7.6,0.7,1.5,7,9,,0,0.5,0.5,0.076,,-5.7,1.8,-3.9,-0.1
35,Shane Battier,SF,33,MIA,65,1499,9.7,0.504,0.627,0.127,4.6,7.7,6.2,8,2.2,1.8,10.7,10.7,,1.2,2.1,3.3,0.104,,0.2,1.5,1.7,1.4
36,Nicolas Batum,SF,23,POR,59,1791,17.3,0.575,0.427,0.248,5.2,12.6,8.8,7.9,1.7,2.6,11.2,20.5,,3.3,1.4,4.8,0.127,,2.3,0,2.3,1.9
37,Jerryd Bayless,PG,23,TOR,31,705,17.7,0.561,0.377,0.319,1.3,9.5,5.5,30.7,1.8,0.5,14.4,24.6,,1.5,0.6,2,0.139,,3.2,-1.9,1.3,0.6
38,Michael Beasley,SF,23,MIN,47,1087,13,0.502,0.203,0.191,4,17.2,10.6,7.7,0.9,1.2,12.9,25.3,,-0.3,0.8,0.5,0.022,,-2.5,-1.4,-3.9,-0.5
39,Rodrigue Beaubois,PG,23,DAL,53,1151,15.3,0.496,0.297,0.155,1.9,12.8,7.4,22.7,2.6,1.9,12.8,22,,0.5,1.7,2.2,0.092,,-0.1,1.4,1.3,0.9
40,Marco Belinelli,SG,25,NOH,66,1966,11.9,0.525,0.414,0.188,1.2,9.1,5.2,8.9,1.3,0.2,8.5,19.5,,1.9,1,2.9,0.071,,0.5,-1.8,-1.4,0.3
41,Raja Bell,SG,35,UTA,34,796,8.3,0.586,0.5,0.144,0.9,6.3,3.5,7,0.9,0.2,10.2,11.6,,1,0.1,1.1,0.069,,0.5,-1.6,-1.1,0.2
42,Keith Benson,C,23,GSW,3,9,6,0,0,0,25.3,12.6,18.9,0,0,0,0,5.1,,0,0,0,-0.005,,-5.4,-5.1,-10.4,0
