Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Álex Abrines,SG,25,OKC,31,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,,0.1,0.6,0.6,0.053,,-2.4,-0.9,-3.4,-0.2
2,Quincy Acy,PF,28,PHO,10,123,2.9,0.379,0.833,0.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,,-0.1,0,-0.1,-0.022,,-5.7,-0.3,-5.9,-0.1
3,Jaylen Adams,PG,22,ATL,34,428,7.6,0.474,0.673,0.082,2.6,12.3,7.4,19.8,1.5,1,19.7,13.5,,-0.1,0.2,0.1,0.011,,-3.1,-1.3,-4.4,-0.3
4,Steven Adams,C,25,OKC,80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2,2.4,12.6,16.4,,5.1,4,9.1,0.163,,0.6,2.1,2.7,3.2
5,Bam Adebayo,C,21,MIA,82,1913,17.9,0.623,0.031,0.465,9.2,24,16.6,14.2,1.8,3,17.1,15.8,,3.4,3.4,6.8,0.171,,-0.6,3.6,3,2.4
6,Deng Adel,SF,21,CLE,19,194,2.7,0.424,0.639,0.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,,-0.2,0,-0.2,-0.054,,-5.3,-2,-7.3,-0.3
7,DeVaughn Akoon-Purcell,SG,25,DEN,7,22,8.2,0.322,0.4,0.2,4.9,14.8,9.8,37.1,4.5,0,15.5,25,,-0.1,0,0,-0.051,,-4.4,0.8,-3.6,0
8,LaMarcus Aldridge,C,33,SAS,81,2687,22.9,0.576,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,,6.4,2.9,9.3,0.167,,1.2,0.5,1.6,2.5
9,Rawle Alkins,SG,21,CHI,10,120,8.1,0.418,0.308,0.308,9.9,13.7,11.8,15.2,0.4,0,15.3,19,,-0.1,0,-0.1,-0.042,,-4.1,-2.5,-6.5,-0.1
10,Grayson Allen,SG,23,UTA,38,416,7.5,0.516,0.556,0.337,0.8,5.1,3,8.9,0.7,1.1,13.9,24.4,,-0.4,0.4,0,0.002,,-3.7,-3.1,-6.8,-0.5
11,Jarrett Allen,C,20,BRK,80,2096,18.5,0.632,0.079,0.489,9.6,24,16.8,7.9,1,4.5,13,15.9,,4.4,3.3,7.6,0.175,,-0.7,3.2,2.5,2.4
12,Kadeem Allen,SG,26,NYK,19,416,16.2,0.574,0.255,0.383,2,11.1,6.4,28.7,1.9,0.8,13.6,19.6,,0.7,0.2,1,0.111,,0.5,-1.6,-1.1,0.1
13,Al-Farouq Aminu,PF,28,POR,81,2292,13.2,0.568,0.472,0.292,5.3,22.6,14.2,6,1.4,1.2,9.7,13.7,,3,2.8,5.8,0.121,,0.1,0.8,0.9,1.7
14,Justin Anderson,SF,25,ATL,48,463,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,,0.1,0.4,0.4,0.043,,-2.6,-0.7,-3.2,-0.1
15,Kyle Anderson,SF,25,MEM,43,1281,12.8,0.569,0.123,0.232,4.1,18.1,11,15,2.1,2.7,16,12.6,,0.8,1.8,2.7,0.1,,-2.1,3.3,1.2,1
16,Ryan Anderson,PF,30,TOT,25,322,4.6,0.414,0.58,0.232,6.1,12.5,9.2,7.8,0.6,0.3,15.5,12,,-0.3,0,-0.2,-0.035,,-4.5,-2,-6.4,-0.4
16,Ryan Anderson,PF,30,PHO,15,278,4.6,0.423,0.567,0.233,5.5,12.5,9,8.1,0.5,0.3,15.4,12.1,,-0.2,0,-0.2,-0.039,,-4.4,-2.1,-6.5,-0.3
16,Ryan Anderson,PF,30,MIA,10,44,4.5,0.354,0.667,0.222,9.7,12.1,10.9,5.8,1.1,0,16.8,11.6,,0,0,0,-0.009,,-4.9,-0.8,-5.8,0
17,Ike Anigbogu,C,20,IND,3,6,-6,0,0,0,18.9,36.2,27.7,19.4,0,14.8,25,29.1,,-0.1,0,-0.1,-0.48,,-22.5,8.5,-14,0
18,Giannis Antetokounmpo,PF,24,MIL,72,2358,30.9,0.644,0.163,0.55,7.3,30,19.3,30.3,1.8,3.9,14.8,32.3,,8.9,5.5,14.4,0.292,,5.7,5,10.8,7.6
19,Kostas Antetokounmpo,PF,21,DAL,2,11,-0.9,0.21,0,1.333,0,9.7,4.9,0,8.8,0,17.4,22.5,,-0.1,0,-0.1,-0.247,,-15.9,2.7,-13.3,0
20,Carmelo Anthony,PF,34,HOU,10,294,10.9,0.513,0.529,0.182,3.3,17.3,10.2,2.6,0.7,2,5.8,20.5,,0.1,0.2,0.3,0.048,,-3.1,-2.8,-5.9,-0.3
21,OG Anunoby,SF,21,TOR,67,1352,9.8,0.544,0.5,0.153,4.8,10.8,7.9,4.7,1.6,1.3,11.3,15.5,,0.3,1.7,2,0.07,,-1.3,0.1,-1.2,0.3
22,Ryan Arcidiacono,PG,24,CHI,81,1961,11.6,0.588,0.519,0.244,1.5,10.8,6.1,18.9,1.6,0.2,12,11.7,,2.8,0.9,3.7,0.09,,-0.1,-1,-1,0.5
23,Trevor Ariza,SF,33,TOT,69,2349,12,0.534,0.59,0.223,2.3,15.2,8.6,14.8,1.8,0.7,11.6,16.6,,1.3,1.2,2.5,0.052,,-0.1,-0.4,-0.5,0.9
23,Trevor Ariza,SF,33,PHO,26,884,10.5,0.525,0.612,0.189,2,16.4,9.1,13.5,2.1,0.8,13.7,13.8,,0.2,0.5,0.6,0.035,,-1.2,0.2,-1,0.2
23,Trevor Ariza,SF,33,WAS,43,1465,13,0.538,0.58,0.238,2.5,14.5,8.4,15.5,1.7,0.7,10.6,18.2,,1.1,0.8,1.9,0.062,,0.6,-0.8,-0.2,0.7
24,D.J. Augustin,PG,31,ORL,81,2269,15.7,0.616,0.459,0.309,1.9,7.8,4.8,26.9,1.1,0.1,14.3,17.2,,5,1.9,6.9,0.146,,1.7,-2,-0.3,1
25,Deandre Ayton,C,20,PHO,71,2183,20.5,0.608,0.005,0.217,11.1,26.1,18.5,9.6,1.3,2.6,11.7,21.2,,4.1,1.7,5.8,0.128,,-0.1,0.2,0.2,1.2
26,Dwayne Bacon,SG,23,CHO,43,759,11.7,0.57,0.339,0.179,1.1,11.7,6.3,9.2,0.8,0.6,6.1,16.8,,0.9,0.3,1.2,0.073,,-1.2,-2.4,-3.5,-0.3
27,Marvin Bagley,PF,19,SAC,62,1567,18.9,0.562,0.136,0.371,10.4,20.8,15.5,5.9,1,3.2,10.7,24.2,,2,1.6,3.6,0.11,,-1.2,-0.7,-1.8,0.1
28,Ron Baker,SG,25,TOT,15,152,2.5,0.309,0.65,0.3,0.7,7.1,3.8,12.8,1.9,0.6,18.1,7.8,,-0.2,0.1,-0.1,-0.034,,-5.9,-0.7,-6.6,-0.2
28,Ron Baker,SG,25,NYK,11,107,4.4,0.376,0.563,0.375,1,6,3.4,16.1,2.3,0,13.9,8.6,,0,0,0,0.002,,-4.6,-1.4,-6,-0.1
