Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Shareef Abdur-Rahim,C,30,SAC,80,2015,13.1,0.524,0.031,0.358,7,16.4,11.6,9.2,1.3,1.5,13.3,19.5,,1.1,1.7,2.8,0.067,,-2.1,0,-2.1,-0.1
2,Hassan Adams,SG,22,NJN,61,495,13,0.577,0.007,0.267,8.4,9.9,9.2,4.5,1.8,0.6,12.7,16.3,,0.5,0.5,1,0.095,,-2.4,-1.2,-3.6,-0.2
3,Maurice Ager,SG,22,DAL,32,214,2.9,0.408,0.214,0.471,0.6,11,5.9,5,1,1.1,15.1,21.7,,-0.5,0.2,-0.3,-0.06,,-7.5,-1.8,-9.3,-0.4
4,LaMarcus Aldridge,C,21,POR,63,1392,17.1,0.533,0.004,0.24,12.6,15.3,13.9,3.2,0.9,4.2,7.5,19.3,,2.5,1,3.4,0.118,,-0.3,-0.6,-0.9,0.4
5,Malik Allen,PF,28,CHI,60,638,10.4,0.443,0.004,0.132,7.6,13.7,10.6,4.2,1.4,2,7.1,20.5,,-0.2,1.1,1,0.073,,-4.9,-0.3,-5.2,-0.5
6,Ray Allen*,SG,31,SEA,55,2219,21.6,0.564,0.384,0.268,3.1,10.4,6.7,19,1.9,0.4,10.7,29.5,,5.4,0.9,6.3,0.136,,5.4,-2.1,3.4,3
7,Tony Allen,SG,25,BOS,33,805,17,0.596,0.127,0.517,5.1,13.6,9.2,12.5,3.2,1.2,19.1,22.1,,0.8,1.1,1.9,0.111,,0,1.1,1.1,0.6
8,Rafer Alston,PG,30,HOU,82,3040,12.9,0.496,0.519,0.174,1.1,9.5,5.3,24.1,2.2,0.3,13.4,19.4,,1.7,4.9,6.6,0.104,,0.4,0.9,1.3,2.5
9,Lou Amundson,PF,24,TOT,11,89,9.6,0.412,0,0.667,17.6,20.2,18.9,1.7,0.6,6.9,20.5,12.7,,-0.1,0.1,0.1,0.039,,-5.5,1.4,-4.1,0
9,Lou Amundson,PF,24,UTA,1,2,0,,,,0,0,0,0,0,0,,0,,0,0,0,-0.004,,-5.3,0.2,-5.1,0
9,Lou Amundson,PF,24,PHI,10,87,9.8,0.412,0,0.667,18,20.6,19.3,1.7,0.6,7.1,20.5,13,,-0.1,0.1,0.1,0.04,,-5.5,1.4,-4.1,0
10,Alan Anderson,SG,24,CHA,17,256,10.1,0.538,0.247,0.284,4.9,10,7.4,13.8,1.4,0,19.4,20.1,,0,0.1,0.1,0.024,,-2.2,-1.8,-4,-0.1
11,Derek Anderson,SF,32,CHA,50,1190,13.7,0.586,0.517,0.361,2.8,8.6,5.6,17.6,2.3,0.5,14.1,15.1,,2,0.9,2.9,0.117,,1.5,-0.4,1,0.9
12,Carmelo Anthony,SF,22,DEN,65,2486,22.1,0.552,0.103,0.391,6.6,11.1,8.9,19.2,1.5,0.7,12.1,33.4,,5.2,2.1,7.3,0.14,,3.1,-1.1,2,2.5
13,Rafael Araújo,C,26,UTA,28,248,8.3,0.463,0,0.446,10.8,21.5,16.2,6.1,1.3,0.7,17.9,17.1,,-0.1,0.3,0.1,0.027,,-4.5,-0.7,-5.2,-0.2
14,Gilbert Arenas,PG,25,WAS,74,2942,24,0.565,0.377,0.464,2.3,11.1,6.6,27.2,2.4,0.3,11.2,31.4,,9.3,1.5,10.8,0.177,,7,-2,5,5.2
15,Trevor Ariza,SG,21,ORL,57,1278,16.2,0.567,0.019,0.461,9.7,14.2,12,8.9,2.5,1.2,15.8,19.2,,1.5,1.9,3.4,0.128,,0.2,1.2,1.5,1.1
16,Darrell Armstrong,PG,38,IND,81,1275,15.1,0.547,0.568,0.247,3,9.3,6.1,24.8,2.9,0.4,15.4,17.4,,1.7,1.5,3.2,0.121,,1.7,-0.6,1.1,1
17,Hilton Armstrong,C,22,NOK,56,634,12.2,0.57,0,0.536,10.3,17,13.6,2.5,1,3.3,18.5,13.6,,0.5,0.7,1.2,0.091,,-3.1,0.5,-2.6,-0.1
18,Carlos Arroyo,PG,27,ORL,72,1304,14.4,0.501,0.107,0.347,3,9.5,6.3,27.1,1.6,0.1,14,22.8,,1.2,1.3,2.5,0.094,,-0.4,-1.6,-2,0
19,Chucky Atkins,PG,32,MEM,75,2064,17.4,0.58,0.428,0.435,1,7,4,27.9,1.2,0.1,13,21.4,,5.1,-0.2,4.9,0.114,,3.5,-4.1,-0.6,0.7
20,James Augustine,PF,22,ORL,2,7,16.6,0.333,0,0,18,34.4,26.4,48.9,0,0,0,19.9,,0,0,0,0.168,,3.3,1.8,5,0
21,Kelenna Azubuike,SG,23,GSW,41,669,13.4,0.572,0.359,0.355,4.2,11.4,7.7,6.2,1.6,1.1,13.3,18.7,,0.7,0.5,1.2,0.083,,-1.1,-1.6,-2.7,-0.1
22,Renaldo Balkman,SF,22,NYK,68,1064,16.1,0.531,0.098,0.327,11,21.8,16.4,7,2.8,3.3,13.5,15.5,,1.1,1.7,2.8,0.125,,-1,2.4,1.4,0.9
23,Marcus Banks,PG,25,PHO,45,503,11.3,0.497,0.148,0.306,2.4,6.2,4.4,17.4,2.3,0.4,15.2,23.5,,-0.1,0.4,0.4,0.037,,-2.8,-1.3,-4.1,-0.3
24,Leandro Barbosa,SG,24,PHO,80,2613,18.4,0.595,0.394,0.209,1,8.1,4.8,18.7,1.8,0.4,10.7,23.4,,6.1,2.1,8.2,0.151,,3.8,-0.9,2.9,3.2
25,J.J. Barea,PG,22,DAL,33,191,9.6,0.44,0.269,0.308,4.5,11.1,7.9,20.4,0.3,0.4,13.7,25,,-0.1,0.2,0.1,0.015,,-2.8,-2.6,-5.4,-0.2
26,Andrea Bargnani,PF,21,TOR,65,1629,12.8,0.546,0.429,0.227,3.7,14.8,9.2,5.1,1,2.5,13.5,22.6,,0.2,1.7,1.9,0.057,,-1.1,-0.7,-1.7,0.1
27,Matt Barnes,PF,26,GSW,76,1813,14.7,0.547,0.462,0.196,5.4,16,10.6,12.8,1.9,1.7,13.3,18.5,,1.9,1.8,3.7,0.099,,0.5,0.3,0.9,1.3
