Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jeff Adrien,PF,24,GSW,23,196,11.3,0.457,0,0.352,13,20.7,16.8,7.3,1,1.9,12.6,16.1,,0.1,0.1,0.2,0.051,,-3.9,-1.2,-5.1,-0.2
2,Arron Afflalo,SG,25,DEN,69,2324,13.6,0.62,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1,9.2,14.8,,4.8,1.4,6.2,0.128,,2.4,-0.2,2.1,2.4
3,Maurice Ager,SG,26,MIN,4,29,10.1,0.682,0.364,0,0,7.9,3.8,6,1.7,0,26.7,22,,0,0,0,-0.015,,-2.7,-3.6,-6.3,0
4,Alexis Ajinça,C,22,TOT,34,340,12.2,0.507,0.256,0.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,,0,0.4,0.4,0.052,,-3.1,-0.3,-3.4,-0.1
4,Alexis Ajinça,C,22,DAL,10,75,12.8,0.435,0.219,0.094,8.1,18,13.3,4.3,2.1,5.1,2.9,21.4,,0,0.1,0.1,0.084,,-3.6,1.5,-2.1,0
4,Alexis Ajinça,C,22,TOR,24,265,12,0.53,0.267,0.149,5.2,22.5,13.6,4.9,1.6,4,13.6,21.1,,0,0.2,0.2,0.042,,-2.9,-0.8,-3.8,-0.1
5,Solomon Alabi,C,22,TOR,12,59,2,0.189,0,0.133,13.7,14.4,14.1,4.6,1.8,2.6,15.9,14.3,,-0.2,0,-0.2,-0.142,,-8.2,0,-8.2,-0.1
6,Cole Aldrich,C,22,OKC,18,142,7,0.537,0,0.267,11.1,17.5,14.4,4,1.8,3.6,32.3,7.9,,0,0.2,0.2,0.066,,-3.4,2.6,-0.8,0
7,LaMarcus Aldridge,PF,25,POR,81,3211,21.5,0.549,0.016,0.314,10.1,17.2,13.5,10.1,1.4,2.4,8.7,25.7,,7.6,3.5,11.1,0.166,,1.9,0.5,2.4,3.5
8,Malik Allen,PF,32,ORL,18,178,3.3,0.361,0,0.065,8.1,12.8,10.5,3.3,0.3,1.7,8.6,9.1,,-0.1,0.2,0.2,0.046,,-5.3,1.4,-3.9,-0.1
9,Ray Allen*,SG,35,BOS,80,2890,16.4,0.615,0.387,0.224,2.3,9,5.8,12.7,1.4,0.4,9.8,19.8,,5.8,4.2,10,0.166,,3.2,0.4,3.6,4.1
10,Tony Allen,SG,29,MEM,72,1494,18.3,0.562,0.047,0.37,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,,2,2.7,4.7,0.152,,0.7,2.9,3.6,2.1
11,Al-Farouq Aminu,SF,20,LAC,81,1452,9.6,0.499,0.352,0.293,6.1,15.4,10.8,6.4,2.1,1.3,18.3,17.3,,-0.8,1.4,0.7,0.022,,-3.1,0.1,-3,-0.4
12,Lou Amundson,PF,28,GSW,46,691,11.5,0.452,0,0.475,13,17.4,15.2,3.5,1,3.6,9.8,15.7,,0.2,0.5,0.6,0.044,,-4,-0.9,-4.9,-0.5
13,Chris Andersen,C,32,DEN,45,732,19,0.636,0.007,0.985,12.2,22.1,17.3,4,1.6,6,11.3,13.5,,1.9,1.2,3.2,0.207,,0.2,3.1,3.3,1
14,David Andersen,PF,30,TOT,40,373,10.9,0.513,0.19,0.182,6.4,21,13.6,5.6,0.7,2,14.4,19.1,,-0.1,0.3,0.3,0.032,,-4,-1.3,-5.3,-0.3
14,David Andersen,PF,30,TOR,11,150,13.8,0.559,0.213,0.149,6.2,21.1,13.4,7.3,1,1.5,13.8,17.3,,0.1,0.1,0.2,0.063,,-1.7,-1.6,-3.3,0
14,David Andersen,PF,30,NOH,29,223,8.9,0.484,0.176,0.203,6.5,20.9,13.6,4.5,0.5,2.2,14.8,20.2,,-0.2,0.3,0.1,0.012,,-5.4,-1.2,-6.6,-0.3
15,James Anderson,SF,21,SAS,26,286,8.5,0.529,0.568,0.222,0.8,8.3,4.7,9.2,0.5,1.5,12.8,16.4,,0.1,0.2,0.3,0.051,,-1.9,-1.5,-3.4,-0.1
16,Ryan Anderson,PF,22,ORL,64,1424,19,0.591,0.65,0.223,10.8,18.1,14.5,6.2,1.1,2.1,7.8,20.4,,4,2.5,6.4,0.216,,4.1,0.2,4.4,2.3
17,Carmelo Anthony,SF,26,TOT,77,2751,21.7,0.557,0.167,0.403,5,18.3,11.8,14.7,1.2,1.3,10.4,32,,5.4,2.5,7.9,0.138,,1.8,-1.3,0.5,1.8
17,Carmelo Anthony,SF,26,DEN,50,1774,21.2,0.547,0.13,0.431,5.2,19.3,12.4,14.3,1.2,1.3,11,32.5,,2.8,1.9,4.7,0.127,,0.9,-0.8,0.2,1
17,Carmelo Anthony,SF,26,NYK,27,977,22.8,0.575,0.233,0.351,4.8,16.5,10.6,15.3,1.3,1.1,9.4,31,,2.6,0.6,3.2,0.157,,3.5,-2.3,1.2,0.8
18,Joel Anthony,C,28,MIA,75,1463,7.3,0.583,0,0.737,9,12.4,10.8,2.2,0.4,5,21.5,5.3,,1.2,2.1,3.3,0.107,,-2.2,3.1,0.9,1.1
19,Gilbert Arenas,PG,29,TOT,70,1796,10.8,0.471,0.446,0.208,1.4,10.7,6.1,25.3,2.1,0.9,18.1,24.7,,-1.6,2.2,0.5,0.014,,-1.2,-0.2,-1.5,0.2
19,Gilbert Arenas,PG,29,WAS,21,726,14,0.505,0.439,0.203,0.9,10.4,5.5,27.5,2.1,1.3,16.5,26.2,,0,0.4,0.4,0.025,,1.2,-1.7,-0.6,0.3
19,Gilbert Arenas,PG,29,ORL,49,1070,8.6,0.444,0.45,0.213,1.8,11,6.5,23.8,2.2,0.7,19.3,23.7,,-1.6,1.7,0.2,0.007,,-2.8,0.8,-2.1,0
20,Trevor Ariza,SF,25,NOH,75,2600,11.3,0.487,0.356,0.259,2.8,16.4,9.5,10,2.5,1,12.2,17.7,,-0.4,3.8,3.4,0.062,,-1.2,2.3,1.1,2
21,Hilton Armstrong,C,26,TOT,53,488,8.8,0.508,0.053,0.434,9.5,21.6,15.4,4.2,1.9,3.3,23.6,10.9,,-0.1,0.6,0.5,0.045,,-4.7,1.5,-3.1,-0.1
21,Hilton Armstrong,C,26,WAS,41,412,8.6,0.519,0.047,0.359,10.4,21.5,15.8,3.5,1.9,3,25.2,10.6,,-0.1,0.4,0.4,0.043,,-4.5,1.2,-3.4,-0.1
21,Hilton Armstrong,C,26,ATL,12,76,10.1,0.457,0.083,0.833,4.8,22,13.5,7.8,2.1,5,15.5,12.1,,-0.1,0.1,0.1,0.054,,-5.5,3.5,-2,0
22,Carlos Arroyo,PG,31,TOT,64,1185,9,0.528,0.253,0.172,2.2,7.9,5.2,15.8,0.9,0.1,17,14,,0.5,1.1,1.7,0.068,,-2.1,-1,-3.1,-0.3
