Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Arron Afflalo,SG,24,DEN,82,2221,10.9,0.576,0.426,0.168,3.1,9.9,6.5,9.3,1,1,10.5,14,,2.8,1.4,4.3,0.092,,0.8,-0.5,0.3,1.3
2,Alexis Ajinça,C,21,CHA,6,30,6.3,0.479,0,0.1,4.1,11.8,8,0,1.8,2.7,16.1,19.3,,-0.1,0,0,-0.013,,-8.5,-2,-10.4,-0.1
3,LaMarcus Aldridge,PF,24,POR,78,2922,18.2,0.535,0.014,0.26,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,,5.5,3.3,8.8,0.145,,0.9,0.6,1.6,2.6
4,Joe Alexander,SF,23,CHI,8,29,2.8,0.273,0.167,0.5,7.8,11.3,9.6,9.3,1.8,2.6,0,11.3,,0,0,0,0.03,,-5.2,1.5,-3.7,0
5,Malik Allen,PF,31,DEN,51,456,5.9,0.431,0.052,0.112,9.2,11.5,10.4,5.1,1.2,0.8,15.3,14,,-0.3,0.3,0.1,0.009,,-4.2,-0.8,-5,-0.3
6,Ray Allen*,SG,34,BOS,80,2819,15.2,0.601,0.41,0.26,2,8.8,5.5,12.3,1.2,0.7,10.6,20.2,,5.1,2.9,7.9,0.135,,2.3,-0.7,1.7,2.6
7,Tony Allen,SG,28,BOS,54,889,14.2,0.54,0.02,0.47,7.4,12.5,10,13,3.5,1.7,17.8,19.6,,0.2,1.6,1.9,0.1,,-1.8,2.6,0.8,0.6
8,Rafer Alston,PG,33,TOT,52,1421,8.2,0.443,0.377,0.182,1,9.7,5.3,20.2,1.9,0.5,16.5,18.8,,-1.6,1.2,-0.4,-0.013,,-2.9,-0.8,-3.7,-0.6
8,Rafer Alston,PG,33,NJN,27,766,8.7,0.436,0.314,0.195,1.3,10.4,5.6,23.1,1.9,0.5,16.9,21.7,,-1.2,0.4,-0.8,-0.051,,-3.3,-1.7,-5,-0.6
8,Rafer Alston,PG,33,MIA,25,655,7.7,0.456,0.479,0.16,0.7,8.9,4.8,16.7,1.9,0.6,15.8,15.4,,-0.4,0.8,0.4,0.031,,-2.4,0.2,-2.3,0
9,Lou Amundson,PF,27,PHO,79,1168,14.4,0.562,0.004,0.446,13.1,19.9,16.7,3.7,1,4.4,14.7,14.6,,1.5,1.3,2.9,0.118,,-1,1.4,0.4,0.7
10,Chris Andersen,PF,31,DEN,76,1695,15.8,0.631,0.012,0.94,10.1,22.7,16.4,2.8,1.3,6.3,14.3,10.8,,3.2,2.7,5.9,0.166,,-1.1,3.3,2.1,1.8
11,David Andersen,C,29,HOU,63,891,12.1,0.497,0.229,0.197,6.7,20.6,13.4,8.1,0.9,1,9.1,20.2,,0.4,0.9,1.3,0.07,,-2.5,-1.3,-3.8,-0.4
12,Antonio Anderson,SF,24,OKC,1,15,-1.7,0.333,0,0,7.9,0,3.8,0,0,0,25,12,,0,0,0,-0.104,,-8.2,-3.1,-11.4,0
13,Ryan Anderson,PF,21,ORL,63,911,18.1,0.574,0.544,0.211,9.2,16.2,12.8,7.1,1.4,1.1,11.7,24.4,,1.7,1.4,3.1,0.161,,2.3,-1,1.3,0.8
14,Carmelo Anthony,SF,25,DEN,69,2634,22.2,0.548,0.125,0.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,,5.6,2.4,7.9,0.145,,2.7,-1.3,1.4,2.3
15,Joel Anthony,C,27,MIA,80,1322,10.2,0.546,0,0.579,11,11.1,11.1,1.3,0.8,6.7,18.4,8.7,,1,2,3.1,0.111,,-3.1,3.5,0.4,0.8
16,Gilbert Arenas,PG,28,WAS,32,1169,18.7,0.511,0.294,0.336,1.6,11.6,6.5,36.3,1.8,0.6,14.2,31.9,,0.9,0.9,1.8,0.072,,3.8,-1.3,2.5,1.3
17,Trevor Ariza,SF,24,HOU,72,2629,13.3,0.488,0.407,0.228,3.3,14.7,8.8,16.7,2.4,1.1,12.8,21.2,,0.1,3.1,3.2,0.058,,0,1.3,1.3,2.2
18,Hilton Armstrong,PF-C,25,TOT,33,335,6.9,0.381,0.013,0.405,9.2,19.2,14.1,8.8,2.3,2.7,19.1,15.5,,-0.5,0.4,-0.1,-0.017,,-6.1,2,-4,-0.2
18,Hilton Armstrong,PF,25,NOH,18,239,7.5,0.409,0,0.56,8.2,22,15,9.3,1.7,2.5,17.3,14.4,,-0.2,0.3,0.1,0.01,,-5.5,1.9,-3.7,-0.1
18,Hilton Armstrong,C,25,SAC,6,56,8.4,0.388,0,0.167,10.1,18.6,14.3,5,1.8,5.2,23.7,13.3,,-0.1,0.1,0,-0.012,,-6.8,2.7,-4.2,0
18,Hilton Armstrong,C,25,HOU,9,40,1.1,0.28,0.059,0.118,13.8,3,8.6,11.5,6.4,0,21.9,25.3,,-0.2,0.1,-0.2,-0.185,,-8.2,2.1,-6.1,0
19,Carlos Arroyo,PG,30,MIA,72,1585,12.3,0.529,0.067,0.24,1.9,7.7,4.8,22.2,1.2,0.3,11.5,13.9,,2.2,1.5,3.7,0.113,,-1.2,-0.8,-2,0
20,Darrell Arthur,PF,21,MEM,32,457,10.5,0.449,0.007,0.205,9.4,18.7,14,4.9,1.6,2.3,12.1,17.4,,-0.1,0.4,0.3,0.031,,-3.9,-0.4,-4.3,-0.3
21,Chucky Atkins,PG,35,DET,40,644,8.3,0.477,0.465,0.172,0.9,4.8,2.7,21.6,1.4,0,15.9,14.4,,0.2,0.1,0.2,0.017,,-2.1,-3.7,-5.8,-0.6
22,D.J. Augustin,PG,22,CHA,80,1472,11.2,0.516,0.409,0.301,0.9,6.9,4,21.7,1.6,0.3,13.1,17.9,,1.1,1.7,2.8,0.092,,-0.9,-1.6,-2.6,-0.2
23,Jeff Ayres,C,22,POR,39,405,12.1,0.705,0,0.308,7.6,22.5,15,0.4,0.9,3.2,14,10.1,,0.8,0.6,1.3,0.156,,-2.5,-0.4,-2.9,-0.1
24,Kelenna Azubuike,SF,26,GSW,9,231,19.8,0.623,0.307,0.318,5.7,14.2,9.9,6.8,1,2.8,6.5,19.9,,0.6,0.1,0.7,0.148,,1.9,-2,0,0.1
25,Renaldo Balkman,SF,25,DEN,13,91,6.6,0.339,0.389,0.333,5.1,23.9,14.6,10.6,4.5,1.7,22.5,13,,-0.2,0.2,0,-0.001,,-5.2,4,-1.1,0
26,Marcus Banks,PG,28,TOR,22,244,15.3,0.635,0.329,0.397,1.5,9.4,5.6,16.4,2.5,0.6,18.9,19.8,,0.4,0.1,0.5,0.095,,1.1,-1.8,-0.7,0.1
